congress,id,state_abbrev,cd,state,party_code,name,dim.a,dim.b,log.likelihood,num.votes,num.errors,mean.prop
3,8150,12,0,NEW JER,5000,RUTHERFURD,0.937,-0.35,-19.64633,56,10,0.704
3,5270,13,0,NEW YOR,5000,KING,0.524,-0.172,-13.48016,69,5,0.823
3,1302,13,0,NEW YOR,4000,BURR,-0.47,-0.754,-9.14914,53,4,0.841
3,4212,47,0,NORTH C,4000,HAWKINS,0.102,-0.885,-20.43216,73,11,0.756
3,6012,47,0,NORTH C,4000,MARTIN,-0.311,-0.943,-14.72866,76,8,0.824
3,6712,14,0,PENNSYL,5000,MORRIS,0.862,-0.126,-15.7156,69,8,0.796
3,8070,14,0,PENNSYL,5000,ROSS,0.91,-0.415,-43.28959,44,27,0.374
3,951,5,0,RHODE I,5000,BRADFORD,0.582,0.786,-8.34051,78,3,0.899
3,3315,5,0,RHODE I,5000,FOSTER,0.172,0.256,-13.06878,75,7,0.84
3,1346,48,0,SOUTH C,4000,BUTLER,-0.424,-0.906,-6.82708,34,4,0.818
3,4837,48,0,SOUTH C,5000,IZARD,0.577,-0.194,-12.91396,68,3,0.827
3,7989,6,0,VERMONT,4000,ROBINSON,-0.585,-0.287,-10.07144,59,4,0.843
3,956,6,0,VERMONT,4000,BRADLEY,-0.415,-0.055,-6.23372,48,2,0.878
3,9215,40,0,VIRGINI,4000,TAYLOR,-0.552,-0.834,-1.96754,35,1,0.945
3,6594,40,0,VIRGINI,4000,MONROE,-0.56,-0.829,-5.02788,44,3,0.892
4,9489,1,0,CONNECT,1,TRUMBULL,0.656,0.665,-2.61965,62,2,0.959
4,9676,11,0,DELAWAR,1,VINING,0.352,0.936,-4.64113,33,2,0.869
4,5494,11,0,DELAWAR,1,LATIMER,0.954,0.301,-9.44058,75,4,0.882
4,3877,44,0,GEORGIA,1,GUNN,0.516,-0.857,-20.63903,65,11,0.728
4,9189,44,0,GEORGIA,200,TATTNALL,-0.037,-0.891,-9.17908,47,5,0.823
4,6000,51,0,KENTUCK,1,MARSHALL,-0.269,0.942,-18.59401,71,12,0.77
4,1118,51,0,KENTUCK,200,BROWN,-0.465,-0.038,-15.44212,78,7,0.82
4,4333,52,0,MARYLAN,1,HENRY,-0.015,-0.275,-14.24149,63,7,0.798
4,7564,52,0,MARYLAN,1,POTTS,0.42,-0.4,-10.80871,51,6,0.809
4,9028,3,0,MASSACH,1,STRONG,0.542,0.84,-3.4173,54,1,0.939
4,1384,3,0,MASSACH,1,CABOT,0.668,0.744,-1.47622,52,0,0.972
4,5449,4,0,NEW HAM,200,LANGDON,-0.565,-0.132,-10.58437,69,6,0.858
4,5713,4,0,NEW HAM,1,LIVERMORE,0.042,0.999,-16.78122,81,11,0.813
4,8150,12,0,NEW JER,1,RUTHERFURD,0.981,-0.195,-12.69765,72,8,0.838
4,3361,12,0,NEW JER,1,FRELINGHUYS,0.933,-0.361,-4.08038,32,3,0.88
4,1302,13,0,NEW YOR,200,BURR,-0.726,-0.688,-20.91984,62,11,0.714
4,5270,13,0,NEW YOR,1,KING,0.785,0.364,-2.86029,47,2,0.941
4,6012,47,0,NORTH C,200,MARTIN,-0.218,-0.976,-13.77973,81,7,0.844
4,800,47,0,NORTH C,200,BLOODWORTH,-0.394,-0.484,-10.32304,79,4,0.878
4,8070,14,0,PENNSYL,1,ROSS,0.937,-0.35,-7.92637,79,4,0.905
4,719,14,0,PENNSYL,1,BINGHAM,0.931,-0.366,-7.32408,79,3,0.911
4,951,5,0,RHODE I,1,BRADFORD,0.496,0.412,-12.2618,78,6,0.855
4,3315,5,0,RHODE I,1,FOSTER,0.314,0.626,-10.13119,77,6,0.877
4,7763,48,0,SOUTH C,1,READ,0.626,-0.448,-15.41179,77,8,0.819
4,1346,48,0,SOUTH C,200,BUTLER,-0.674,-0.738,-10.53238,47,6,0.799
4,7164,6,0,VERMONT,1,PAINE,0.166,0.676,-7.94992,53,5,0.861
4,7989,6,0,VERMONT,200,ROBINSON,-0.799,0.101,-9.62876,57,5,0.845
4,9238,40,0,VIRGINI,200,TAZEWELL,-0.863,-0.164,-13.3514,78,6,0.843
4,6063,40,0,VIRGINI,200,MASON,-0.969,-0.245,-14.29931,54,6,0.767
5,4433,1,0,CONNECT,1,HILLHOUSE,0.274,0.72,-46.09282,191,16,0.786
5,9452,1,0,CONNECT,1,TRACY,0.463,0.734,-29.29211,194,17,0.86
5,5494,11,0,DELAWAR,1,LATIMER,0.628,0.077,-26.07095,157,15,0.847
5,1823,11,0,DELAWAR,1,CLAYTON,0.686,0.106,-12.76544,63,5,0.817
5,3877,44,0,GEORGIA,1,GUNN,0.534,-0.845,-24.35127,54,6,0.637
5,9189,44,0,GEORGIA,200,TATTNALL,-0.095,-0.922,-13.95064,111,8,0.882
5,1118,51,0,KENTUCK,200,BROWN,-0.462,-0.827,-33.07232,164,19,0.817
5,6000,51,0,KENTUCK,1,MARSHALL,-0.252,0.968,-31.2,130,18,0.787
5,4628,52,0,MARYLAN,1,HOWARD,0.407,0.057,-77.00684,136,21,0.568
5,5725,52,0,MARYLAN,1,LLOYD,0.448,0.54,-22.52684,116,10,0.823
5,8344,3,0,MASSACH,1,SEDGWICK,0.638,0.447,-20.54881,151,7,0.873
5,3674,3,0,MASSACH,1,GOODHUE,0.504,0.708,-37.78033,190,8,0.82
5,5713,4,0,NEW HAM,1,LIVERMORE,0.043,0.999,-71.42665,185,41,0.68
5,5449,4,0,NEW HAM,200,LANGDON,-0.501,-0.177,-22.56855,144,13,0.855
5,8964,12,0,NEW JER,1,STOCKTON,0.615,0.532,-14.30324,145,5,0.906
5,8150,12,0,NEW JER,1,RUTHERFURD,0.706,-0.13,-9.36214,56,2,0.846
5,2351,12,0,NEW JER,1,DAVENPORT,0.488,0.61,-1.69158,28,0,0.941
5,5498,13,0,NEW YOR,1,LAURANCE,0.87,-0.432,-51.07937,153,8,0.716
5,4469,13,0,NEW YOR,1,HOBART,0.718,-0.15,-3.69998,25,2,0.862
5,6963,13,0,NEW YOR,1,NORTH,0.295,-0.185,-22.40962,84,13,0.766
5,9874,13,0,NEW YOR,1,WATSON,0.715,0.035,-4.85925,29,3,0.846
