name,team,year,season,rank,age,games,starts,reg_minutes,fg,fga,fg_percent,three_made,three_attempts,three_pct,two_made,two_attemtps,two_pct,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,off_rating,def_rating,efficiency_rating,adj_fg_pct,three_rate,ft_rate,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usage,win_share,win_share_per_48,war
Paul Pierce,Boston Celtics,2008,Regular,1,30,80,80,2874,9.4,20.2,0.464,2.6,6.7,0.392,6.7,13.5,0.499,7.5,8.9,0.843,1,6.6,7.5,6.7,1.9,0.7,4.1,3.7,28.8,115,100,19.6,0.599,0.332,0.442,2.3,14,8.5,21.8,1.9,1,14.4,24.8,12.4,0.207,13.230000000000002
Ray Allen,Boston Celtics,2008,Regular,2,32,73,73,2624,8.8,19.8,0.445,3.6,9.1,0.398,5.2,10.7,0.485,4.3,4.8,0.907,1.5,3.9,5.4,4.5,1.3,0.3,2.6,3,25.6,116,103,16.4,0.584,0.458,0.24,3.6,8.3,6.1,14.6,1.3,0.5,10.4,21.6,9.7,0.177,9.18
Kevin Garnett,Boston Celtics,2008,Regular,3,31,71,71,2328,12.1,22.5,0.539,0,0.2,0,12.1,22.2,0.545,6.1,7.6,0.801,3.1,11.8,14.9,5.5,2.3,2,3.1,3.7,30.3,118,94,25.3,0.588,0.011,0.339,7.3,25.1,16.8,19.9,2.3,3.1,10.8,25.5,12.9,0.265,14.850000000000001
Rajon Rondo,Boston Celtics,2008,Regular,4,21,77,77,2306,8,16.3,0.492,0.1,0.4,0.263,7.9,15.9,0.499,2.4,4,0.611,1.8,5.6,7.4,9,3,0.3,3.4,4.3,18.6,107,98,15.6,0.515,0.027,0.245,4.3,11.9,8.3,28.2,3,0.5,15.7,18.9,7.2,0.15,7.290000000000001
Kendrick Perkins,Boston Celtics,2008,Regular,5,23,78,78,1912,5.9,9.6,0.615,0,0,0,5.9,9.6,0.617,3.1,5.1,0.623,4,9.1,13.1,2.3,0.9,3.1,3.5,6.7,15,110,97,13.3,0.632,0.003,0.526,9.6,19.3,14.8,6.8,0.9,4.9,22.6,13.5,6.2,0.156,5.940000000000001
James Posey,Boston Celtics,2008,Regular,6,31,74,2,1821,5,12,0.418,3.1,8.1,0.38,1.9,3.9,0.496,2.7,3.3,0.809,0.9,8.5,9.3,3.3,2.1,0.6,1.9,5.3,15.8,114,98,12,0.587,0.674,0.278,2.1,18,10.5,9.5,2.1,0.9,12.3,13.5,6.2,0.164,6.21
Eddie House,Boston Celtics,2008,Regular,7,29,78,2,1480,7.7,18.9,0.409,4.2,10.6,0.393,3.6,8.3,0.429,1.2,1.3,0.917,0.7,5.3,6,5.4,2.1,0.4,2.7,4.1,20.8,105,100,13,0.534,0.561,0.068,1.6,11.2,6.7,16.9,2.1,0.6,12.2,19.6,3.9,0.127,2.9700000000000006
Tony Allen,Boston Celtics,2008,Regular,8,26,75,11,1373,6.5,15,0.434,0.7,2.2,0.316,5.8,12.8,0.455,5.3,7,0.762,1.3,5.2,6.5,4.4,2.4,0.8,4.2,6.5,19,98,99,10.7,0.527,0.147,0.465,3.1,11,7.3,13.1,2.4,1.3,18.9,19.6,2.7,0.093,0.54
Glen Davis,Boston Celtics,2008,Regular,9,22,69,1,940,6,12.4,0.484,0,0,NA,6,12.4,0.484,5.6,8.4,0.66,5.3,6.3,11.7,1.6,1.7,1.1,3.7,9,17.6,105,99,11.3,0.545,0,0.679,12.8,13.5,13.2,4.6,1.7,1.7,18.5,17.4,2.5,0.128,0.27
Leon Powe,Boston Celtics,2008,Regular,10,24,56,5,809,10,17.6,0.572,0,0.1,0,10,17.5,0.575,8.9,12.6,0.71,6.2,8.6,14.8,1,1,1,2.8,8.3,29,124,100,20.9,0.629,0.004,0.717,14.9,18.3,16.7,3.3,1,1.6,10.8,22.8,4.3,0.256,0.54
Brian Scalabrine,Boston Celtics,2008,Regular,11,29,48,9,512,3,9.7,0.309,1.5,4.7,0.326,1.4,4.9,0.292,1.5,2.1,0.75,2.3,5.9,8.1,4.1,0.9,0.8,2.7,6.5,9.1,92,102,5.1,0.428,0.489,0.213,5.4,12.5,9.2,11.2,0.9,1.3,20.2,11.7,0.6,0.057,-0.27
Sam Cassell,Boston Celtics,2008,Regular,12,38,17,1,299,8.8,23,0.385,1.6,3.9,0.409,7.2,19.1,0.38,3.7,4.4,0.84,0.9,4.6,5.5,6.2,1.6,0.5,3.4,5.1,23,96,102,11,0.461,0.169,0.192,2.1,9.8,6.2,19.9,1.6,0.8,11.9,24.9,0.4,0.061,-0.27
P.J. Brown,Boston Celtics,2008,Regular,13,38,18,0,209,3.5,10.4,0.341,0,0.3,0,3.5,10.1,0.35,2.8,4,0.688,7.3,9.9,17.2,2.5,1.3,2,2.5,7.3,9.9,100,97,10.2,0.406,0.024,0.39,17.6,21,19.4,6.9,1.3,3.1,17.2,12.9,0.5,0.116,0.27
Scot Pollard,Boston Celtics,2008,Regular,14,32,22,0,173,3.7,7,0.522,0,0,NA,3.7,7,0.522,4.6,6.7,0.682,4.3,7,11.3,0.9,0.9,1.8,1.5,13.1,11.9,123,100,8.7,0.597,0,0.957,10.2,14.9,12.7,2.5,0.9,2.9,13.3,10.1,0.6,0.171,0
Gabe Pruitt,Boston Celtics,2008,Regular,15,21,15,0,95,7.8,21.7,0.359,1.7,6.7,0.25,6.1,15,0.407,0.6,1.1,0.5,0.6,3.9,4.4,7.2,2.8,0,2.8,5.6,17.8,89,100,8.3,0.401,0.308,0.051,1.3,8.3,5,22.5,2.8,0,11.1,22,0.1,0.028,-0.27
Larry Bird,Boston Celtics,1981,Regular,1,24,82,82,3239,10.6,22.1,0.478,0.3,1.1,0.27,10.3,21,0.489,4.2,4.8,0.863,2.8,10.4,13.2,6.6,2.4,0.9,4.2,3.5,25.6,107,99,19.9,0.528,0.049,0.218,7,23.8,15.7,20.4,2.4,1.1,14.9,24.3,10.8,0.16,15.66
Tiny Archibald,Boston Celtics,1981,Regular,2,32,80,72,2820,6.5,12.9,0.499,0,0.2,0,6.5,12.8,0.505,5.8,7.1,0.816,0.6,2.4,3,10.4,1.3,0.3,4.5,3.4,18.7,111,107,14.3,0.582,0.012,0.547,1.5,5.4,3.6,28.5,1.3,0.4,21.8,17.5,6.9,0.118,1.35
Cedric Maxwell,Boston Celtics,1981,Regular,3,25,81,81,2730,7.7,13.1,0.588,0,0,0,7.7,13.1,0.589,6.1,7.9,0.782,3.9,5.3,9.2,3.8,1.4,1.2,3.1,4.5,21.5,124,104,17.6,0.651,0.001,0.6,9.7,12.1,11,10.8,1.4,1.4,16,16.8,11,0.193,12.690000000000001
Chris Ford,Boston Celtics,1981,Regular,4,32,82,75,2723,5.5,12.4,0.444,0.6,1.9,0.33,4.9,10.5,0.465,1.1,1.5,0.736,1.3,1.6,2.9,5.2,1.7,0.4,2.2,3.7,12.7,103,107,8.8,0.488,0.154,0.123,3.1,3.7,3.4,13.7,1.7,0.5,14.6,13,3.7,0.066,2.7
Robert Parish,Boston Celtics,1981,Regular,5,27,82,78,2298,13.2,24.2,0.545,0,0,0,13.2,24.1,0.545,5.8,8.2,0.71,5.1,11,16.1,3,1.7,4.4,4,6.4,32.2,113,96,25.2,0.579,0.001,0.34,12.7,25.3,19.3,10,1.7,5.1,12.5,27.1,10.9,0.228,10.8
Kevin McHale,Boston Celtics,1981,Regular,6,23,82,1,1645,10.3,19.3,0.533,0,0.1,0,10.3,19.2,0.535,3.1,4.6,0.679,4.5,5.9,10.4,1.6,0.8,4.4,3.2,7.5,23.7,108,102,16.4,0.556,0.003,0.239,11.2,13.6,12.4,4.8,0.8,5.1,13,20.9,4.7,0.137,2.7
Gerald Henderson,Boston Celtics,1981,Regular,7,25,82,10,1608,7.7,17.1,0.451,0,0.5,0.063,7.7,16.7,0.462,3.3,4.6,0.72,1.3,2.6,3.9,6.3,2.3,0.4,4.7,5.2,18.8,94,105,10.4,0.491,0.028,0.271,3.2,6.1,4.7,17.8,2.3,0.4,19.8,20.5,1.3,0.037,-1.35
Rick Robey,Boston Celtics,1981,Regular,8,25,82,4,1569,9,16.6,0.545,0,0,0,9,16.6,0.546,4.4,7.6,0.574,4,7.8,11.8,3.8,1.2,0.6,4.3,6.2,22.5,105,103,14.9,0.563,0.002,0.459,10,18,14.2,11.2,1.2,0.7,17.7,20.7,3.7,0.114,1.89
M.L. Carr,Boston Celtics,1981,Regular,9,30,41,7,655,7.1,15.7,0.449,0.1,1,0.071,7,14.7,0.475,3.9,4.9,0.791,1.9,4.1,6,4.1,2.2,1.3,3.4,5.4,18,100,103,11.6,0.505,0.065,0.31,4.7,9.5,7.2,11.3,2.2,1.5,16.1,18.2,1.1,0.082,0.27
Eric Fernsten,Boston Celtics,1981,Regular,10,27,45,0,279,6.5,13.5,0.481,0,0,NA,6.5,13.5,0.481,3.4,5.1,0.667,5,5.6,10.6,1.7,1,1.2,3.4,5,16.4,102,104,11,0.521,0,0.38,12.4,12.9,12.7,4.7,1,1.4,17.8,16.4,0.5,0.079,-0.27
Terry Duerod,Boston Celtics,1981,Regular,11,24,32,0,114,12.5,30.5,0.411,2.5,4.2,0.6,10,26.3,0.381,5.4,5.8,0.929,0.8,1.3,2.1,2.5,2.1,0,4.2,3.3,33,99,107,14.3,0.499,0.137,0.192,2.1,2.9,2.5,8.2,2.1,0,11.2,31.8,0.1,0.058,-0.54
Wayne Kreklow,Boston Celtics,1981,Regular,12,24,25,0,100,5.2,22.4,0.234,0.5,1.9,0.25,4.8,20.5,0.233,3.3,4.8,0.7,1,4.8,5.7,4.3,1,0.5,4.8,9.5,14.3,65,106,-1.9,0.292,0.085,0.213,2.4,10.9,6.8,11.3,1,0.6,16.3,25,-0.3,-0.167,-0.81
Larry Bird,Boston Celtics,1984,Regular,1,27,79,77,3028,12,24.5,0.492,0.3,1.2,0.247,11.8,23.3,0.504,5.9,6.7,0.888,2.9,9.8,12.7,8.3,2.3,1.1,3.8,3.1,30.3,115,101,24.2,0.552,0.047,0.273,7,22.3,14.9,26.2,2.3,1.3,12.1,26.7,13.6,0.215,19.980000000000004
Robert Parish,Boston Celtics,1984,Regular,2,30,80,79,2867,10.5,19.1,0.546,0,0,NA,10.5,19.1,0.546,4.6,6.2,0.745,4.1,10.3,14.4,2.3,0.9,1.9,3.1,4.5,25.5,115,102,19.2,0.584,0,0.323,10,23.5,17,7,0.9,2.3,12.4,21.3,10.5,0.175,7.83
Dennis Johnson,Boston Celtics,1984,Regular,3,29,80,78,2665,6.9,15.9,0.437,0.1,0.6,0.125,6.9,15.3,0.449,5.1,6,0.852,1.6,3.5,5.1,6.1,1.7,1,3.1,4.5,19,107,106,12.8,0.515,0.036,0.376,3.8,7.9,6,16.6,1.7,1.2,14.4,18.4,5.7,0.102,4.32
Kevin McHale,Boston Celtics,1984,Regular,4,26,82,10,2577,11,19.7,0.556,0,0.1,0.333,10.9,19.6,0.557,6.3,8.2,0.765,3.9,7.5,11.4,1.9,0.4,2.4,2.8,4.5,28.2,120,105,20,0.605,0.003,0.416,9.5,17.1,13.4,6,0.4,2.7,10.7,22.3,10.5,0.196,6.48
Cedric Maxwell,Boston Celtics,1984,Regular,5,28,80,78,2502,6.1,11.5,0.532,0,0.1,0.167,6.1,11.3,0.536,6.2,8.2,0.753,3.9,5,8.9,3.9,1.2,0.5,3.9,4.3,18.4,113,107,13.5,0.61,0.01,0.713,9.5,11.4,10.5,10.5,1.2,0.5,20.6,16.2,6.4,0.124,6.75
Gerald Henderson,Boston Celtics,1984,Regular,6,28,78,78,2088,8.7,16.5,0.524,0.5,1.3,0.351,8.2,15.2,0.539,3.1,4.1,0.768,1.6,1.8,3.4,6.9,2.7,0.3,3.7,4.8,20.9,110,106,14.7,0.57,0.079,0.247,3.8,4.1,4,19.8,2.7,0.4,16.8,18.8,5.3,0.121,4.32
Quinn Buckner,Boston Celtics,1984,Regular,7,29,79,0,1249,5.3,12.4,0.427,0,0.2,0,5.3,12.2,0.435,1.8,2.9,0.649,1.6,3.7,5.3,8.2,3.2,0.1,3.9,7.2,12.5,94,104,9.4,0.456,0.019,0.229,3.9,8.4,6.2,21.5,3.2,0.1,22,15,1.3,0.052,0.27
Danny Ainge,Boston Celtics,1984,Regular,8,24,71,3,1154,6.9,15.1,0.46,0.3,0.9,0.273,6.7,14.1,0.472,1.9,2.3,0.821,1.2,3.6,4.8,6.8,1.7,0.2,2.9,6,16,104,107,10.4,0.498,0.061,0.155,3,8.3,5.7,18.4,1.7,0.2,15.4,16.2,1.8,0.076,-0.27
Scott Wedman,Boston Celtics,1984,Regular,9,31,68,5,916,7.8,17.5,0.444,0.1,0.7,0.154,7.7,16.8,0.456,1.5,1.8,0.829,2.2,5.1,7.3,3.5,1.4,0.4,2.3,5.6,17.2,100,106,9.9,0.469,0.039,0.105,5.3,11.7,8.6,9.8,1.4,0.4,11,17.6,1.2,0.065,-0.81
M.L. Carr,Boston Celtics,1984,Regular,10,33,60,1,585,5.8,14.1,0.409,0.2,1.2,0.2,5.5,12.8,0.429,3.5,3.9,0.875,2.1,4,6.2,4,1.4,0.3,3.8,5.5,15.2,95,107,7.8,0.481,0.088,0.281,5.2,9.2,7.3,10.7,1.4,0.4,19.3,16.7,0.4,0.034,-0.81
Greg Kite,Boston Celtics,1984,Regular,11,22,35,1,197,7.3,16.1,0.455,0,0,NA,7.3,16.1,0.455,1.2,3.9,0.313,6.6,8.6,15.1,1.7,0.2,1.2,4.9,10.3,15.9,87,105,6.8,0.445,0,0.242,16.2,19.5,17.9,4.7,0.2,1.4,21.5,19.4,0,-0.008,-0.54
Carlos Clark,Boston Celtics,1984,Regular,12,23,31,0,127,7.2,19.7,0.365,0,0.8,0,7.2,18.9,0.38,6.1,6.8,0.889,2.7,3.8,6.4,6.4,3,0.4,4.5,4.9,20.5,95,104,12.1,0.451,0.038,0.346,6.5,8.6,7.6,17.7,3,0.4,16.7,23.3,0.1,0.048,0
Larry Bird,Boston Celtics,1986,Regular,1,29,82,81,3113,12.1,24.5,0.496,1.2,3,0.423,10.9,21.5,0.506,6.7,7.5,0.896,2.9,9.4,12.3,8.5,2.5,0.8,4.1,2.8,32.2,117,99,25.6,0.58,0.121,0.306,7.2,20.4,14.2,26.3,2.5,0.9,12.7,27.6,15.8,0.244,23.49
Dennis Johnson,Boston Celtics,1986,Regular,2,31,78,78,2732,8.4,18.4,0.455,0.1,0.7,0.143,8.3,17.7,0.468,4.2,5.2,0.818,1.2,3.5,4.7,7.9,1.9,0.6,3,3.6,21.1,107,104,14.7,0.509,0.04,0.28,3,7.5,5.4,22,1.9,0.7,12.7,20.5,6.7,0.118,4.86
Robert Parish,Boston Celtics,1986,Regular,3,32,81,80,2567,9.8,17.8,0.549,0,0,NA,9.8,17.8,0.549,4.5,6.2,0.731,4.5,9.7,14.2,2.7,1.2,2.1,3.5,4,24.1,112,100,18.8,0.586,0,0.347,11.3,21.1,16.5,7.7,1.2,2.5,14.4,20.8,9.2,0.171,8.100000000000001
Danny Ainge,Boston Celtics,1986,Regular,4,26,80,78,2407,7,13.8,0.504,0.5,1.4,0.356,6.4,12.4,0.521,2.4,2.7,0.904,0.9,3.7,4.6,8,1.9,0.1,2.5,4,16.8,115,105,13.6,0.562,0.104,0.194,2.3,8.1,5.4,21.3,1.9,0.2,14.5,15.2,6.8,0.136,5.13
Kevin McHale,Boston Celtics,1986,Regular,5,28,68,62,2397,11.1,19.4,0.574,0,0,NA,11.1,19.4,0.574,6.5,8.3,0.776,3.4,7.5,10.9,3.6,0.6,2.7,2.9,3.8,28.7,122,103,21.6,0.623,0,0.429,8.4,16.4,12.7,10.8,0.6,3.1,11.4,22.5,11,0.22,10.8
Jerry Sichting,Boston Celtics,1986,Regular,6,29,82,7,1596,7,12.2,0.57,0.2,0.5,0.375,6.8,11.8,0.578,1.8,2,0.924,0.8,2.3,3.1,5.6,1.5,0,2.2,3.5,16,118,107,11.9,0.609,0.039,0.16,2,5,3.6,14.9,1.5,0,14.2,13.2,4.2,0.126,1.35
Bill Walton,Boston Celtics,1986,Regular,7,33,80,2,1546,7.1,12.6,0.562,0,0,NA,7.1,12.6,0.562,4.4,6.2,0.713,4.2,12.5,16.7,5.1,1.2,3.3,4.6,6.4,18.6,108,97,17,0.606,0,0.491,10.4,27.3,19.4,13.6,1.2,3.8,23.2,17.3,5,0.157,5.4
Scott Wedman,Boston Celtics,1986,Regular,8,33,79,19,1402,9.7,20.5,0.473,0.6,1.6,0.354,9.1,18.8,0.483,1.5,2.3,0.662,2.2,4.3,6.5,2.8,1.3,0.7,1.8,4.3,21.4,104,105,12.5,0.499,0.079,0.112,5.5,9.3,7.5,8.1,1.3,0.9,7.8,20.2,2.7,0.093,-0.27
Rick Carlisle,Boston Celtics,1986,Regular,9,26,77,1,760,5.7,11.8,0.487,0,0.6,0,5.7,11.2,0.514,0.9,1.4,0.652,1.4,3.4,4.8,6.5,1.2,0.2,3.1,5.7,12.4,99,106,7.9,0.5,0.053,0.122,3.4,7.5,5.6,16.8,1.2,0.3,20.1,13.5,0.9,0.056,-0.81
Greg Kite,Boston Celtics,1986,Regular,10,24,64,2,464,3.5,9.3,0.374,0,0.1,0,3.5,9.2,0.378,1.5,4,0.385,3.6,9.5,13.1,1.7,0.3,2.9,3.3,8.3,8.5,79,101,4.6,0.384,0.011,0.429,8.9,20.7,15.2,4.2,0.3,3.3,22.8,12.4,0.1,0.007,-1.08
Sam Vincent,Boston Celtics,1986,Regular,11,22,57,0,432,6.5,17.8,0.364,0.1,0.4,0.25,6.4,17.3,0.367,7.1,7.7,0.929,1.2,4.1,5.3,7.6,1.9,0.4,5.4,6.5,20.2,94,104,10,0.477,0.025,0.432,3,8.9,6.1,20,1.9,0.5,20.3,23,0.3,0.037,-0.81
David Thirdkill,Boston Celtics,1986,Regular,12,25,49,0,385,6.7,13.6,0.491,0,0.1,0,6.7,13.4,0.495,6.8,10.8,0.625,3.3,5.3,8.6,1.8,1.4,0.4,2.3,6.8,20.1,111,104,12.1,0.548,0.009,0.8,8.3,11.5,10,4.9,1.4,0.4,11.3,17.9,1,0.129,-0.27
Sly Williams,Boston Celtics,1986,Regular,13,28,6,0,54,4.4,18.4,0.238,0,3.5,0,4.4,14.9,0.294,6.1,10.5,0.583,6.1,7,13.2,1.8,0.9,0.9,6.1,13.2,14.9,71,103,-0.6,0.323,0.19,0.571,15.3,15.3,15.3,4.4,0.9,1,21,25.3,-0.2,-0.136,-0.27
Michael Jordan,Chicago Bulls,1991,Regular,1,27,82,82,3034,16.4,30.4,0.539,0.5,1.5,0.312,15.9,28.9,0.551,9.4,11.1,0.851,2,6.2,8.1,7.5,3.7,1.4,3.3,3.8,42.7,125,102,31.6,0.605,0.051,0.365,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,20.3,0.321,26.460000000000004
Scottie Pippen,Chicago Bulls,1991,Regular,2,25,82,82,3014,10,19.2,0.52,0.3,1.1,0.309,9.6,18.1,0.534,4,5.7,0.706,2.7,7.2,9.9,8.5,3.2,1.5,3.9,4.5,24.3,114,102,20.6,0.561,0.059,0.295,6.5,16.6,11.6,23.5,3.2,1.9,15.1,21.8,11.2,0.179,17.28
Horace Grant,Chicago Bulls,1991,Regular,3,25,78,76,2641,7.6,13.9,0.547,0,0.1,0.167,7.6,13.8,0.55,3.7,5.3,0.711,5.1,7.5,12.5,3.4,1.8,1.3,1.7,3.9,19,126,105,17.6,0.585,0.008,0.378,12,17.3,14.7,8.8,1.8,1.6,9.7,15.3,10.3,0.188,11.61
Bill Cartwright,Chicago Bulls,1991,Regular,4,33,79,79,2273,7,14.3,0.49,0,0,NA,7,14.3,0.49,2.7,3.9,0.697,3.7,7,10.7,2.8,0.7,0.3,2.5,3.7,16.8,108,108,11.5,0.522,0,0.274,8.8,16.3,12.6,7.1,0.7,0.4,13.4,15.8,4.2,0.089,0.54
John Paxson,Chicago Bulls,1991,Regular,5,30,82,82,1971,8.1,14.7,0.548,1.1,2.4,0.438,7,12.3,0.571,0.9,1,0.829,0.4,1.9,2.3,7.6,1.6,0.1,1.8,3.5,18.1,124,110,14,0.596,0.166,0.071,0.9,4.5,2.7,19.9,1.6,0.1,10.4,14.4,5.7,0.14,1.08
B.J. Armstrong,Chicago Bulls,1991,Regular,6,23,82,0,1731,8.8,18.3,0.481,0.4,0.9,0.5,8.4,17.5,0.48,2.8,3.2,0.874,0.7,3.6,4.3,8.7,2,0.1,3.1,3.4,20.9,111,108,14.8,0.529,0.047,0.176,1.7,8.3,5.1,23.4,2,0.1,13.6,19.5,4.1,0.114,0.27
Stacey King,Chicago Bulls,1991,Regular,7,24,76,6,1198,6.5,14,0.467,0,0.1,0,6.5,13.9,0.47,4.5,6.4,0.704,3,5.7,8.7,2.7,1,1.8,3.8,5.6,17.6,100,107,10.2,0.523,0.006,0.455,7.2,13.2,10.2,6.9,1,2.2,18.5,17.6,1.5,0.059,-1.08
Cliff Levingston,Chicago Bulls,1991,Regular,8,30,78,0,1013,6.3,14,0.45,0,0.2,0.25,6.2,13.8,0.453,2.9,4.5,0.648,4.9,6.2,11.1,2.8,1.4,2.1,2.5,7.1,15.6,106,105,11.5,0.488,0.014,0.323,11.7,14.4,13.1,7,1.4,2.7,13.4,15.7,2,0.095,0.54
Will Perdue,Chicago Bulls,1991,Regular,9,25,74,3,972,6,12.1,0.494,0,0.2,0,6,12,0.5,3.9,5.8,0.67,6.3,11.1,17.4,2.4,1.2,2.9,3.9,7.6,15.9,105,102,13.7,0.54,0.013,0.477,15,25.6,20.3,6,1.2,3.7,20.9,15.8,2.3,0.115,0.81
Craig Hodges,Chicago Bulls,1991,Regular,10,30,73,0,843,8.7,20.5,0.424,2.6,6.8,0.383,6.1,13.6,0.445,1.5,1.6,0.963,0.6,1.9,2.5,5.8,2,0.1,2.1,4.4,21.6,110,109,12.4,0.509,0.334,0.078,1.4,4.4,2.9,15.4,2,0.1,9,19.8,1.7,0.099,-0.81
Dennis Hopson,Chicago Bulls,1991,Regular,11,25,61,0,728,7.2,16.8,0.426,0.1,0.3,0.2,7.1,16.5,0.431,3.8,5.7,0.663,3.4,4.1,7.5,4.5,1.7,1,4.1,5.4,18.2,96,107,10,0.471,0.02,0.34,8,9.6,8.8,11.5,1.7,1.2,17.4,19.9,0.5,0.035,-0.81
Scott Williams,Chicago Bulls,1991,Regular,12,22,51,0,337,7.9,15.5,0.51,0.1,0.3,0.5,7.7,15.2,0.51,3,4.2,0.714,6.3,8.3,14.6,2.4,1.8,1.9,3.4,7.6,18.9,109,103,14.7,0.546,0.019,0.269,14.9,19.3,17.1,6.2,1.8,2.4,16.5,17.7,0.9,0.129,0.27
Scottie Pippen,Chicago Bulls,1992,Regular,1,26,82,82,3164,11,21.8,0.506,0.3,1.3,0.2,10.8,20.6,0.525,5.3,7,0.76,3,7.2,10.1,9.2,2.5,1.5,4.1,3.9,27.6,114,102,21.5,0.555,0.059,0.319,6.9,15.8,11.5,25.8,2.5,1.8,14,24.6,12.7,0.192,18.36
Michael Jordan,Chicago Bulls,1992,Regular,2,28,80,80,3102,15.5,29.8,0.519,0.4,1.6,0.27,15,28.2,0.533,8,9.7,0.832,1.5,6.9,8.4,8,3,1.2,3.3,3.3,39.4,121,102,27.7,0.579,0.055,0.325,3.5,15.3,9.5,25.7,3,1.5,8.8,31.7,17.7,0.274,22.410000000000004
Horace Grant,Chicago Bulls,1992,Regular,3,26,81,81,2859,8.1,14,0.578,0,0,0,8.1,14,0.58,4.2,5.6,0.741,6.1,8.2,14.4,3.9,1.8,2.3,1.7,3.5,20.4,132,102,20.6,0.618,0.003,0.401,14.3,18.2,16.3,10,1.8,2.9,9.5,15.5,14.1,0.237,18.090000000000003
John Paxson,Chicago Bulls,1992,Regular,4,31,79,79,1946,6.7,12.7,0.528,0.3,1.1,0.273,6.4,11.6,0.553,0.8,1,0.784,0.5,2,2.5,6.3,1.3,0.2,1.1,3.7,14.5,121,110,10.9,0.551,0.09,0.076,1.3,4.3,2.9,15.7,1.3,0.3,8,12.1,4.7,0.117,0.81
B.J. Armstrong,Chicago Bulls,1992,Regular,5,24,82,3,1875,9.1,18.9,0.481,0.9,2.4,0.402,8.1,16.5,0.492,2.8,3.5,0.806,0.5,3.4,3.9,7.2,1.2,0.1,2.5,2.4,21.9,112,109,14.1,0.537,0.125,0.185,1.2,7.6,4.5,19.2,1.2,0.2,11.1,19.5,4.6,0.117,0
Bill Cartwright,Chicago Bulls,1992,Regular,6,34,64,64,1471,7.2,15.4,0.467,0,0,NA,7.2,15.4,0.467,3.3,5.5,0.604,3.2,8,11.2,3,0.8,0.5,2.6,4.5,17.7,104,106,10.9,0.497,0,0.357,7.5,17.7,12.7,7.6,0.8,0.6,12.7,17.3,2.5,0.082,-0.81
Stacey King,Chicago Bulls,1992,Regular,7,25,79,12,1268,8.6,17,0.506,0.1,0.2,0.4,8.5,16.8,0.507,4.8,6.3,0.753,3.5,4.7,8.2,3.1,0.8,1,3,5.2,22.1,112,108,13.4,0.557,0.012,0.372,8.1,10.5,9.3,8.1,0.8,1.2,13.3,19.4,3.1,0.118,0
Cliff Levingston,Chicago Bulls,1992,Regular,8,31,79,0,1020,6.2,12.5,0.498,0,0.3,0.167,6.2,12.2,0.506,3,4.8,0.625,5.4,5.9,11.3,3.3,1.3,2.2,2.1,6.7,15.5,115,105,13.1,0.53,0.024,0.382,12.7,13,12.9,8.1,1.3,2.8,12.5,14.2,2.9,0.139,2.16
Will Perdue,Chicago Bulls,1992,Regular,9,26,77,7,1007,7.7,14,0.547,0.1,0.1,0.5,7.6,13.9,0.547,2.3,4.6,0.495,5.5,10.3,15.8,4,0.8,2.2,3.6,6.7,17.7,107,103,14.2,0.55,0.007,0.327,12.7,22.8,17.9,10.3,0.8,2.7,18.5,16.7,2.5,0.121,1.35
Bob Hansen,Chicago Bulls,1992,Regular,10,31,66,0,769,5,11.2,0.444,0.5,1.7,0.28,4.5,9.5,0.472,0.5,1.5,0.364,1,3.8,4.8,4.5,1.7,0.2,1.9,8.5,10.9,99,107,5.8,0.462,0.148,0.13,2.3,8.5,5.5,10.8,1.7,0.2,13.5,11.6,0.9,0.054,-0.54
Scott Williams,Chicago Bulls,1992,Regular,11,23,63,0,690,6.1,12.7,0.483,0,0.2,0,6.1,12.5,0.491,3.5,5.5,0.649,6.6,11.6,18.2,3.7,1,2.7,2.6,9,15.8,114,101,14.6,0.523,0.017,0.43,15.5,25.6,20.7,9.1,1,3.3,14.6,15,2.3,0.16,1.35
Craig Hodges,Chicago Bulls,1992,Regular,12,31,56,2,555,8.5,22.2,0.384,3.3,8.8,0.375,5.2,13.4,0.39,1.5,1.6,0.941,0.6,1.6,2.2,4.9,1.3,0.1,2,3,21.8,105,110,10.4,0.477,0.397,0.07,1.5,3.5,2.5,13,1.3,0.1,8.1,21.1,0.8,0.068,-1.08
Mark Randall,Chicago Bulls,1992,Regular,13,24,15,0,67,7.6,16.7,0.455,0,1.5,0,7.6,15.2,0.5,4.6,6.1,0.75,3,3.8,6.8,5.3,0,0,4.6,6.1,19.7,100,111,8.7,0.509,0.091,0.364,7.1,8.4,7.8,13.6,0,0,19,20.3,0,0.036,-0.27
Rory Sparrow,Chicago Bulls,1992,Regular,14,33,4,0,18,2.8,22.6,0.125,2.8,5.6,0.5,0,16.9,0,0,0,NA,0,2.8,2.8,11.3,0,0,5.6,5.6,8.5,56,112,-5.5,0.188,0.25,0,0,6.3,3.2,25.7,0,0,20,24,-0.1,-0.26,-0.27
Dennis Hopson,Chicago Bulls,1992,Regular,15,26,2,0,10,5.1,10.2,0.5,0,0,NA,5.1,10.2,0.5,0,0,NA,0,0,0,0,5.1,0,0,10.2,10.2,110,103,5.9,0.5,0,0,0,0,0,0,5.1,0,0,8.6,0,0.1,0
