"","G","Date","location","Opponent","outcome","points_for","points_against","FG.for","FGA.for","FGpct.for","3P.for","3PA.for","3Ppct.for","FT.for","FTA.for","FTpct.for","ORB.for","TRB.for","AST.for","STL","BLK","TOV","PF","FG.against","FGA.against","FGpct.against","3P.against","3PA.against","3Ppct.against","FT.against","FTA.against","FTpct.against","ORB.against","TRB.against","AST.against","STL.against","BLK.against","TOV.against","PF.against","team"
"125","6","2017-11-22","neutral","Iowa","L","85","95","31","69",".449","7","25",".280","16","18",".889","11","30","15","7","1","9","22","30","50",".600","8","13",".615","27","35",".771","4","27","18","3","4","11","18","alabama birmingham"
"126","7","2017-11-26","home","Mississippi College","W","90","53","32","61",".525","5","13",".385","21","25",".840","10","44","17","7","6","13","9","22","63",".349","6","28",".214","3","4",".750","6","21","12","7","1","16","17","alabama birmingham"
"127","8","2017-11-30","home","Memphis","W","71","56","24","61",".393","5","21",".238","18","21",".857","9","31","14","3","4","5","14","22","52",".423","8","22",".364","4","10",".400","8","28","9","3","5","12","19","alabama birmingham"
"128","9","2017-12-05","away","Troy","W","90","78","34","66",".515","9","17",".529","13","18",".722","16","36","13","5","1","10","14","24","48",".500","10","26",".385","20","23",".870","3","18","8","6","6","11","17","alabama birmingham"
"129","10","2017-12-09","away","Auburn","L","80","85","25","55",".455","7","20",".350","23","26",".885","8","30","14","4","3","9","19","26","60",".433","11","25",".440","22","28",".786","13","32","10","7","2","9","22","alabama birmingham"
"130","11","2017-12-16","home","Alabama A&M","W","90","58","34","60",".567","14","21",".667","8","11",".727","11","41","20","4","1","15","16","22","53",".415","8","29",".276","6","10",".600","3","16","13","7","0","15","14","alabama birmingham"
"131","12","2017-12-20","home","New Orleans","W","74","67","28","47",".596","7","17",".412","11","19",".579","6","26","18","8","10","16","15","25","61",".410","5","17",".294","12","17",".706","13","29","12","10","2","14","16","alabama birmingham"
"132","13","2017-12-23","home","Mississippi Valley State","W","74","57","27","51",".529","10","25",".400","10","12",".833","6","35","20","4","9","17","10","20","68",".294","8","28",".286","9","9","1.000","11","30","9","7","1","10","17","alabama birmingham"
"133","14","2017-12-30","home","Middle Tennessee","L","60","63","20","53",".377","6","21",".286","14","20",".700","4","27","15","4","4","5","15","22","52",".423","8","19",".421","11","13",".846","5","32","13","3","2","11","17","alabama birmingham"
"134","15","2018-01-04","away","Florida Atlantic","W","75","44","31","57",".544","7","14",".500","6","9",".667","5","37","17","7","2","13","10","18","61",".295","3","23",".130","5","8",".625","10","29","10","10","3","16","16","alabama birmingham"
"135","16","2018-01-06","away","Florida International","W","75","64","30","58",".517","5","17",".294","10","12",".833","8","37","14","8","2","14","18","21","55",".382","11","29",".379","11","22",".500","8","25","14","9","3","12","18","alabama birmingham"
"136","17","2018-01-11","home","Southern Miss","W","86","75","32","52",".615","8","17",".471","14","20",".700","8","31","20","8","5","13","5","29","59",".492","15","34",".441","2","2","1.000","6","19","21","8","1","12","17","alabama birmingham"
"137","18","2018-01-13","home","Louisiana Tech","W","74","62","31","58",".534","6","15",".400","6","13",".462","10","32","19","7","1","13","19","20","50",".400","6","24",".250","16","19",".842","8","29","11","8","2","18","14","alabama birmingham"
"138","19","2018-01-18","away","Western Kentucky","L","69","77","29","65",".446","8","19",".421","3","3","1.000","7","35","17","3","3","10","22","27","56",".482","3","15",".200","20","29",".690","3","30","9","7","8","6","7","alabama birmingham"
"139","20","2018-01-20","away","Marshall","L (1 OT)","78","86","33","74",".446","7","23",".304","5","13",".385","10","43","26","6","7","16","15","27","72",".375","14","37",".378","18","18","1.000","4","39","19","10","6","15","15","alabama birmingham"
"140","21","2018-01-25","home","UTEP","W","85","78","32","57",".561","6","21",".286","15","23",".652","9","34","18","3","3","9","11","28","63",".444","13","34",".382","9","14",".643","8","25","13","5","2","6","16","alabama birmingham"
