"","G","Date","location","Opponent","outcome","points_for","points_against","FG.for","FGA.for","FGpct.for","3P.for","3PA.for","3Ppct.for","FT.for","FTA.for","FTpct.for","ORB.for","TRB.for","AST.for","STL","BLK","TOV","PF","FG.against","FGA.against","FGpct.against","3P.against","3PA.against","3Ppct.against","FT.against","FTA.against","FTpct.against","ORB.against","TRB.against","AST.against","STL.against","BLK.against","TOV.against","PF.against","team"
"946","17","2018-01-13","home","Toledo","L","82","93","26","55",".473","7","19",".368","23","31",".742","9","30","8","8","2","10","18","27","57",".474","14","32",".438","25","32",".781","10","29","15","6","5","12","23","central michigan"
"947","18","2018-01-16","away","Ball State","L","76","82","26","72",".361","10","30",".333","14","19",".737","17","42","12","7","3","13","21","29","58",".500","10","27",".370","14","20",".700","7","34","18","4","6","14","19","central michigan"
"948","19","2018-01-20","away","Bowling Green State","W","84","75","28","62",".452","11","25",".440","17","21",".810","8","29","16","10","0","12","19","26","59",".441","10","26",".385","13","17",".765","13","38","12","4","3","18","23","central michigan"
"949","20","2018-01-23","home","Miami (OH)","L","61","70","23","61",".377","9","28",".321","6","10",".600","7","30","6","4","3","6","11","25","55",".455","11","23",".478","9","13",".692","8","37","17","3","4","9","17","central michigan"
"950","1","2017-11-10","away","Davidson","L","62","110","25","62",".403","6","24",".250","6","10",".600","7","32","11","1","1","14","17","35","70",".500","26","53",".491","14","17",".824","9","39","29","6","1","1","12","charleston southern"
"951","2","2017-11-12","away","North Carolina State","L","56","78","21","52",".404","6","18",".333","8","13",".615","11","31","11","5","5","23","25","25","52",".481","9","23",".391","19","32",".594","10","31","13","9","2","15","18","charleston southern"
"952","3","2017-11-15","home","Columbia International","W","98","58","36","68",".529","6","24",".250","20","34",".588","16","39","20","15","4","9","21","16","47",".340","6","16",".375","20","22",".909","6","27","10","4","1","25","22","charleston southern"
"953","4","2017-11-18","away","South Carolina Upstate","W","82","72","28","60",".467","9","27",".333","17","22",".773","14","42","13","5","2","16","16","23","58",".397","14","38",".368","12","17",".706","8","28","14","6","1","14","21","charleston southern"
"954","5","2017-11-20","home","Toccoa Falls","W","107","36","41","74",".554","5","16",".313","20","29",".690","17","49","18","20","6","12","14","12","56",".214","3","24",".125","9","11",".818","8","29","7","4","1","28","19","charleston southern"
"955","6","2017-11-25","away","Illinois State","W (1 OT)","64","62","25","65",".385","4","19",".211","10","18",".556","17","46","8","4","0","13","18","20","60",".333","8","33",".242","14","17",".824","12","35","11","5","6","14","19","charleston southern"
"956","7","2017-11-28","home","Virginia Military Institute","L","68","76","24","57",".421","4","22",".182","16","25",".640","12","35","11","9","5","19","21","24","51",".471","12","28",".429","16","24",".667","4","28","17","7","2","14","17","charleston southern"
"957","8","2017-12-12","away","South Carolina State","L (1 OT)","88","91","35","64",".547","10","21",".476","8","13",".615","7","31","13","5","5","15","21","31","65",".477","9","21",".429","20","29",".690","9","31","8","6","4","11","17","charleston southern"
"958","9","2017-12-15","home","Eastern Kentucky","L","65","70","22","49",".449","6","15",".400","15","24",".625","6","26","12","12","4","16","19","20","52",".385","9","20",".450","21","26",".808","14","36","12","10","4","15","18","charleston southern"
"959","10","2017-12-18","away","Florida State","L","58","69","21","58",".362","8","19",".421","8","10",".800","13","36","8","5","1","19","14","27","52",".519","5","19",".263","10","17",".588","4","23","21","10","6","11","11","charleston southern"
"960","11","2017-12-21","home","Johnson & Wales (NC)","W","102","58","38","58",".655","11","20",".550","15","20",".750","12","44","18","3","3","17","14","20","61",".328","11","28",".393","7","7","1.000","6","16","11","6","2","10","17","charleston southern"
"961","12","2017-12-30","home","Longwood","W","84","43","30","62",".484","11","30",".367","13","18",".722","11","33","16","13","3","11","15","15","44",".341","5","22",".227","8","12",".667","7","30","8","4","3","28","13","charleston southern"
"962","13","2018-01-02","away","Liberty","L","53","70","16","52",".308","8","26",".308","13","17",".765","7","23","12","10","3","12","14","21","42",".500","13","21",".619","15","19",".789","5","36","18","5","3","22","18","charleston southern"
"963","14","2018-01-06","away","High Point","L","59","80","20","59",".339","4","18",".222","15","18",".833","12","33","8","7","6","14","10","29","57",".509","10","18",".556","12","14",".857","5","29","15","8","3","13","14","charleston southern"
"964","15","2018-01-09","home","Radford","L","61","64","24","56",".429","4","18",".222","9","12",".750","10","27","10","9","3","14","18","19","42",".452","9","22",".409","17","20",".850","4","19","10","6","5","14","13","charleston southern"
"965","16","2018-01-12","home","Winthrop","L","53","64","23","63",".365","6","30",".200","1","3",".333","6","24","13","5","6","9","17","20","50",".400","11","25",".440","13","15",".867","11","44","14","6","2","17","10","charleston southern"
"966","17","2018-01-15","away","North Carolina-Asheville","L","73","83","26","55",".473","8","23",".348","13","21",".619","9","23","13","7","3","12","14","29","47",".617","13","21",".619","12","15",".800","5","29","17","5","2","12","18","charleston southern"
"967","18","2018-01-18","away","Campbell","L","47","62","17","55",".309","4","15",".267","9","17",".529","10","30","7","9","6","12","18","19","43",".442","6","19",".316","18","20",".900","5","37","8","4","3","15","17","charleston southern"
"968","19","2018-01-21","home","Gardner-Webb","W","83","68","26","51",".510","10","20",".500","21","23",".913","4","26","15","6","3","12","15","27","56",".482","10","23",".435","4","10",".400","7","28","16","4","3","19","21","charleston southern"
"969","20","2018-01-24","home","Presbyterian","L","49","57","21","61",".344","3","26",".115","4","10",".400","12","25","8","7","2","7","14","21","43",".488","7","19",".368","8","13",".615","11","38","9","5","5","16","13","charleston southern"
"970","1","2017-11-10","home","Methodist","W","116","76","42","67",".627","11","22",".500","21","28",".750","8","40","22","11","7","12","23","27","67",".403","6","18",".333","16","28",".571","12","31","11","8","2","15","24","charlotte"
"971","2","2017-11-13","away","Oklahoma State","L","65","83","18","52",".346","4","13",".308","25","32",".781","6","28","9","5","1","14","15","29","62",".468","9","24",".375","16","18",".889","5","34","18","5","4","13","26","charlotte"
"972","3","2017-11-18","home","College of Charleston","L","72","81","27","62",".435","5","12",".417","13","19",".684","10","33","10","6","3","17","19","29","58",".500","10","22",".455","13","15",".867","6","31","8","8","7","16","22","charlotte"
"973","4","2017-11-20","home","Presbyterian","W","83","74","30","55",".545","10","21",".476","13","23",".565","8","35","17","6","1","10","17","25","52",".481","10","23",".435","14","18",".778","2","24","9","2","1","12","22","charlotte"
"974","5","2017-11-24","home","High Point","W","70","67","23","47",".489","4","9",".444","20","37",".541","8","23","10","6","3","14","23","24","52",".462","4","14",".286","15","21",".714","9","31","3","8","1","20","28","charlotte"
"975","6","2017-11-28","home","Davidson","L","70","85","23","52",".442","7","18",".389","17","26",".654","8","30","12","5","4","16","20","33","64",".516","8","29",".276","11","18",".611","8","34","22","6","2","11","20","charlotte"
"976","7","2017-12-02","away","James Madison","L","82","87","28","61",".459","10","23",".435","16","19",".842","5","30","17","4","1","9","24","30","61",".492","7","22",".318","20","27",".741","8","37","13","8","6","9","20","charlotte"
"977","8","2017-12-05","home","Wake Forest","L","57","80","15","47",".319","5","23",".217","22","31",".710","8","32","7","7","2","20","17","29","58",".500","9","25",".360","13","23",".565","11","37","17","13","2","16","27","charlotte"
"978","9","2017-12-10","away","Chattanooga","L","50","64","20","45",".444","7","15",".467","3","5",".600","1","25","10","3","1","19","20","22","53",".415","7","24",".292","13","18",".722","8","33","12","9","1","14","11","charlotte"
"979","10","2017-12-18","away","East Carolina","W","69","50","28","64",".438","4","17",".235","9","12",".750","12","38","14","10","4","15","13","22","66",".333","2","21",".095","4","10",".400","14","33","12","6","4","18","13","charlotte"
"980","11","2017-12-21","away","South Florida","L","76","78","26","60",".433","12","25",".480","12","18",".667","9","29","17","5","2","9","13","31","63",".492","8","23",".348","8","15",".533","9","37","19","6","4","11","13","charlotte"
"981","12","2017-12-30","away","Old Dominion","L","58","89","16","52",".308","5","17",".294","21","34",".618","12","31","6","6","2","22","22","31","58",".534","7","15",".467","20","26",".769","9","41","18","11","4","16","24","charlotte"
"982","13","2018-01-04","away","North Texas","W","70","68","24","64",".375","5","24",".208","17","24",".708","10","33","4","7","3","10","19","26","59",".441","6","21",".286","10","17",".588","9","36","15","3","7","15","20","charlotte"
"983","14","2018-01-06","away","Rice","L","64","73","24","62",".387","6","26",".231","10","17",".588","15","36","13","4","1","19","21","26","56",".464","8","22",".364","13","17",".765","8","31","11","6","4","13","19","charlotte"
"984","15","2018-01-11","home","Marshall","L","83","91","29","67",".433","5","16",".313","20","29",".690","14","40","7","6","2","17","19","32","67",".478","9","31",".290","18","21",".857","7","31","15","9","3","14","22","charlotte"
"985","16","2018-01-13","home","Western Kentucky","L","63","73","20","58",".345","2","15",".133","21","22",".955","5","36","5","4","3","13","24","25","64",".391","3","14",".214","20","29",".690","13","43","8","9","4","13","17","charlotte"
"986","17","2018-01-18","away","Florida Atlantic","L","64","75","25","51",".490","5","14",".357","9","18",".500","7","26","6","6","1","16","14","30","62",".484","6","12",".500","9","16",".563","9","32","14","11","3","11","19","charlotte"
"987","18","2018-01-20","away","Florida International","L","59","79","22","53",".415","6","20",".300","9","12",".750","9","32","9","2","2","16","15","26","55",".473","8","18",".444","19","25",".760","7","31","14","8","4","6","14","charlotte"
"988","1","2017-11-10","away","Wyoming","L","65","74","24","60",".400","7","23",".304","10","14",".714","8","37","14","5","2","16","27","20","48",".417","10","21",".476","24","30",".800","3","33","12","5","7","15","19","chattanooga"
"989","2","2017-11-13","away","Alabama-Birmingham","L","47","89","19","54",".352","7","22",".318","2","6",".333","3","18","10","3","2","17","20","32","64",".500","7","17",".412","18","24",".750","14","46","19","10","1","13","15","chattanooga"
"990","3","2017-11-16","home","Hiwassee","W","94","46","31","55",".564","14","27",".519","18","28",".643","6","38","22","4","2","7","13","18","54",".333","3","15",".200","7","13",".538","4","25","10","4","4","11","20","chattanooga"
"991","4","2017-11-20","home","Alabama State","W","67","50","21","40",".525","10","19",".526","15","20",".750","4","27","11","3","2","17","18","15","45",".333","4","12",".333","16","21",".762","5","19","3","10","1","14","22","chattanooga"
"992","5","2017-11-21","home","Jacksonville State","L (1 OT)","75","77","24","49",".490","10","22",".455","17","24",".708","3","18","10","6","3","12","14","30","58",".517","6","12",".500","11","15",".733","11","34","13","8","5","18","21","chattanooga"
"993","6","2017-11-25","home","Tennessee Wesleyan","W","95","60","35","66",".530","11","28",".393","14","16",".875","14","45","23","3","0","16","17","21","63",".333","3","20",".150","15","20",".750","11","29","8","6","2","11","19","chattanooga"
"994","7","2017-11-28","away","Akron","L","70","75","26","48",".542","5","11",".455","13","21",".619","5","23","13","7","1","16","15","28","53",".528","6","14",".429","13","17",".765","8","29","13","13","2","17","23","chattanooga"
"995","8","2017-12-02","home","UT-Martin","W","66","63","19","52",".365","10","31",".323","18","22",".818","8","33","16","2","0","13","14","22","49",".449","10","23",".435","9","14",".643","2","26","10","7","2","13","23","chattanooga"
"996","9","2017-12-05","away","Marshall","L","66","70","22","60",".367","7","20",".350","15","17",".882","10","41","8","5","3","19","17","29","62",".468","1","16",".063","11","17",".647","4","28","7","5","9","12","18","chattanooga"
"997","10","2017-12-10","home","Charlotte","W","64","50","22","53",".415","7","24",".292","13","18",".722","8","33","12","9","1","14","11","20","45",".444","7","15",".467","3","5",".600","1","25","10","3","1","19","20","chattanooga"
"998","11","2017-12-17","away","Tennessee Tech","L","76","82","23","49",".469","7","20",".350","23","30",".767","8","28","14","4","3","19","24","29","61",".475","5","13",".385","19","27",".704","12","28","15","10","3","14","24","chattanooga"
"999","12","2017-12-21","away","Jacksonville State","W","70","67","25","62",".403","12","32",".375","8","12",".667","8","30","19","3","3","9","11","30","63",".476","2","13",".154","5","10",".500","9","39","17","4","7","9","17","chattanooga"
"1000","13","2017-12-23","home","Georgia State","L","48","71","16","53",".302","6","27",".222","10","18",".556","8","28","9","4","1","10","7","32","53",".604","3","14",".214","4","7",".571","2","35","13","9","5","10","18","chattanooga"
"1001","14","2017-12-30","away","Samford","L","56","73","21","60",".350","12","36",".333","2","5",".400","10","22","17","6","3","16","13","29","47",".617","4","12",".333","11","13",".846","6","29","13","10","3","20","18","chattanooga"
"1002","15","2018-01-04","home","Western Carolina","L","63","75","23","50",".460","9","30",".300","8","15",".533","5","21","12","8","4","15","16","28","62",".452","4","15",".267","15","19",".789","15","40","8","12","3","14","13","chattanooga"
"1003","16","2018-01-06","home","ETSU","L","66","85","23","59",".390","5","17",".294","15","27",".556","8","24","12","6","3","11","13","33","59",".559","7","19",".368","12","19",".632","6","38","14","7","5","11","24","chattanooga"
"1004","17","2018-01-10","home","Furman","L","55","73","23","51",".451","4","15",".267","5","7",".714","4","19","9","6","0","13","12","31","56",".554","7","22",".318","4","7",".571","8","32","15","9","1","14","12","chattanooga"
"1005","18","2018-01-13","away","Citadel","L (1 OT)","101","110","37","79",".468","17","40",".425","10","13",".769","17","36","23","4","5","11","19","37","60",".617","15","30",".500","21","26",".808","5","30","24","6","7","13","16","chattanooga"
"1006","19","2018-01-15","away","Mercer","L (1 OT)","71","75","23","53",".434","10","29",".345","15","22",".682","5","19","14","4","1","8","15","30","53",".566","3","12",".250","12","14",".857","8","38","16","3","0","16","23","chattanooga"
"1007","20","2018-01-20","away","Wofford","L","67","71","25","54",".463","6","21",".286","11","15",".733","7","27","15","5","1","13","14","25","58",".431","7","26",".269","14","16",".875","9","29","13","8","3","13","16","chattanooga"
"1008","21","2018-01-24","home","Samford","W","78","71","25","58",".431","7","19",".368","21","26",".808","11","50","11","4","3","22","19","23","67",".343","10","25",".400","15","20",".750","4","23","15","11","4","10","22","chattanooga"
"1009","1","2017-11-10","away","Iowa","L","62","95","23","61",".377","6","26",".231","10","18",".556","12","28","10","9","2","19","33","31","52",".596","12","22",".545","21","35",".600","8","36","23","8","7","17","19","chicago state"
"1010","2","2017-11-12","away","Purdue","L","42","111","14","65",".215","2","21",".095","12","19",".632","8","21","7","4","1","13","24","40","66",".606","12","28",".429","19","28",".679","13","54","24","6","9","14","22","chicago state"
"1011","3","2017-11-14","home","Silver Lake","W","101","53","35","67",".522","3","18",".167","28","43",".651","9","35","22","21","4","14","20","17","52",".327","3","10",".300","16","21",".762","5","33","9","4","0","38","32","chicago state"
"1012","4","2017-11-16","away","Notre Dame","L","66","105","22","61",".361","6","16",".375","16","21",".762","11","21","13","9","2","15","21","36","58",".621","10","22",".455","23","30",".767","12","37","18","9","8","12","18","chicago state"
"1013","5","2017-11-18","away","Northern Iowa","L","44","82","17","54",".315","4","15",".267","6","12",".500","7","23","6","6","1","16","23","31","59",".525","5","20",".250","15","22",".682","13","45","16","6","5","13","14","chicago state"
"1014","6","2017-11-21","home","East-West","W","113","65","43","89",".483","4","15",".267","23","33",".697","20","56","27","11","7","12","28","18","64",".281","2","18",".111","27","37",".730","8","28","9","5","11","19","26","chicago state"
"1015","7","2017-11-23","away","UMBC","L","73","84","29","56",".518","3","8",".375","12","14",".857","12","40","12","6","1","21","26","26","64",".406","14","30",".467","18","30",".600","12","27","21","10","6","11","18","chicago state"
"1016","8","2017-11-24","neutral","Presbyterian","L","73","75","27","56",".482","10","25",".400","9","13",".692","7","30","13","5","1","14","19","23","53",".434","13","27",".481","16","21",".762","5","26","14","7","4","11","15","chicago state"
"1017","9","2017-11-26","away","Drake","L","67","79","24","55",".436","9","21",".429","10","14",".714","7","29","7","2","1","11","15","29","61",".475","11","29",".379","10","12",".833","7","30","19","0","3","9","13","chicago state"
"1018","10","2017-11-29","away","Marquette","L","69","95","24","58",".414","7","22",".318","14","17",".824","8","29","8","4","1","10","17","34","64",".531","18","39",".462","9","15",".600","11","38","23","3","2","8","17","chicago state"
"1019","11","2017-12-02","home","Northern Illinois","L","77","95","25","59",".424","10","25",".400","17","22",".773","9","30","11","2","5","17","18","34","65",".523","11","22",".500","16","23",".696","11","35","22","10","1","9","22","chicago state"
"1020","12","2017-12-09","away","Oakland","L","50","82","16","59",".271","4","17",".235","14","17",".824","4","26","8","5","4","13","24","26","58",".448","4","23",".174","26","34",".765","10","45","17","8","9","12","15","chicago state"
"1021","13","2017-12-11","away","Northwestern","L","31","96","8","38",".211","1","6",".167","14","20",".700","5","24","5","3","0","23","29","27","55",".491","12","30",".400","30","37",".811","7","31","20","10","5","9","20","chicago state"
"1022","14","2017-12-16","home","Bradley","L","58","84","22","55",".400","6","18",".333","8","9",".889","6","25","16","10","1","19","18","28","50",".560","12","21",".571","16","19",".842","1","22","23","9","8","15","15","chicago state"
"1023","15","2017-12-19","away","Southern Illinois-Edwardsville","L","76","88","31","62",".500","3","10",".300","11","13",".846","7","24","13","6","1","18","21","32","53",".604","7","17",".412","17","24",".708","5","27","19","8","9","17","16","chicago state"
"1024","16","2017-12-27","away","Wisconsin","L","70","82","26","56",".464","3","9",".333","15","18",".833","7","25","11","7","2","10","24","26","51",".510","7","20",".350","23","32",".719","7","29","14","5","6","8","16","chicago state"
"1025","17","2017-12-30","away","Western Michigan","L","71","92","24","59",".407","8","23",".348","15","20",".750","4","31","8","3","1","9","20","30","66",".455","14","32",".438","18","29",".621","15","50","18","6","0","9","21","chicago state"
"1026","18","2018-01-06","home","New Mexico State","L","60","97","22","65",".338","4","22",".182","12","17",".706","9","31","8","5","3","9","15","40","73",".548","12","28",".429","5","9",".556","12","46","26","4","4","7","14","chicago state"
"1027","19","2018-01-11","away","Seattle","L","64","67","23","61",".377","5","14",".357","13","15",".867","5","30","11","9","4","11","20","25","61",".410","7","18",".389","10","15",".667","13","37","13","3","4","16","16","chicago state"
"1028","20","2018-01-13","away","Utah Valley","L","58","83","23","63",".365","4","18",".222","8","14",".571","12","31","11","12","4","15","19","29","52",".558","8","19",".421","17","26",".654","8","39","24","4","9","16","15","chicago state"
"1029","21","2018-01-18","home","Grand Canyon","L","58","86","19","55",".345","4","16",".250","16","21",".762","11","31","12","8","4","22","22","33","64",".516","7","20",".350","13","20",".650","14","41","20","8","1","17","20","chicago state"
"1030","22","2018-01-20","home","Cal State Bakersfield","L","78","89","31","62",".500","8","22",".364","8","12",".667","7","20","21","7","3","9","22","30","50",".600","10","21",".476","19","24",".792","8","27","24","4","3","14","18","chicago state"
"1031","1","2017-11-10","home","Savannah State","W","107","77","41","86",".477","13","39",".333","12","24",".500","22","58","24","7","4","20","17","26","74",".351","13","44",".295","12","16",".750","7","28","19","11","4","17","24","cincinnati"
"1032","2","2017-11-13","home","Western Carolina","W","102","51","33","64",".516","9","21",".429","27","34",".794","12","43","24","11","7","13","17","18","56",".321","5","16",".313","10","18",".556","10","25","9","6","1","22","23","cincinnati"
"1033","3","2017-11-16","home","Coppin State","W","97","54","32","63",".508","12","29",".414","21","36",".583","14","48","23","7","5","7","10","19","60",".317","4","19",".211","12","12","1.000","4","26","7","4","1","10","24","cincinnati"
"1034","4","2017-11-20","neutral","Buffalo","W","73","67","21","53",".396","4","10",".400","27","35",".771","8","36","11","7","3","17","20","23","65",".354","10","29",".345","11","17",".647","9","33","9","6","4","17","30","cincinnati"
"1035","5","2017-11-21","neutral","Richmond","W","75","48","25","46",".543","13","24",".542","12","17",".706","6","33","20","9","4","20","21","16","42",".381","6","16",".375","10","17",".588","4","19","11","7","3","20","18","cincinnati"
"1036","6","2017-11-22","neutral","Wyoming","W","78","53","31","62",".500","7","14",".500","9","14",".643","11","35","12","8","5","10","19","15","48",".313","6","21",".286","17","25",".680","4","22","10","3","3","13","15","cincinnati"
"1037","7","2017-11-27","home","Alabama State","W","83","51","29","59",".492","6","22",".273","19","26",".731","13","33","19","7","9","7","11","22","57",".386","5","12",".417","2","2","1.000","12","33","9","1","3","20","20","cincinnati"
"1038","8","2017-12-02","away","Xavier","L","76","89","29","69",".420","8","28",".286","10","16",".625","8","26","14","10","11","8","23","27","57",".474","10","21",".476","25","30",".833","8","37","16","5","6","15","15","cincinnati"
"1039","9","2017-12-09","neutral","Florida","L","60","66","23","54",".426","4","15",".267","10","16",".625","11","33","4","7","5","19","21","23","54",".426","6","15",".400","14","17",".824","7","28","9","7","6","13","17","cincinnati"
"1040","10","2017-12-12","home","Mississippi State","W","65","50","22","54",".407","7","20",".350","14","16",".875","9","33","18","5","11","14","11","19","63",".302","6","21",".286","6","8",".750","11","30","9","9","4","15","16","cincinnati"
"1041","11","2017-12-16","away","UCLA","W","77","63","27","58",".466","8","17",".471","15","23",".652","9","34","17","12","5","8","16","23","56",".411","11","29",".379","6","9",".667","9","32","11","2","4","18","21","cincinnati"
"1042","12","2017-12-19","home","Arkansas-Pine Bluff","W","77","49","26","58",".448","5","15",".333","20","28",".714","12","35","17","13","3","15","12","18","50",".360","5","20",".250","8","12",".667","4","25","9","4","3","22","19","cincinnati"
"1043","13","2017-12-21","home","Cleveland State","W","81","62","33","61",".541","7","20",".350","8","11",".727","12","30","24","10","5","11","11","23","46",".500","10","21",".476","6","8",".750","5","17","11","4","2","16","13","cincinnati"
"1044","14","2017-12-31","home","Memphis","W","82","48","32","61",".525","9","18",".500","9","17",".529","12","40","23","9","4","9","14","18","56",".321","4","22",".182","8","17",".471","10","27","6","2","2","13","15","cincinnati"
"1045","15","2018-01-04","away","Temple","W","55","53","20","51",".392","3","14",".214","12","20",".600","15","36","10","6","4","16","14","18","56",".321","6","23",".261","11","14",".786","13","31","9","10","4","11","16","cincinnati"
"1046","16","2018-01-07","home","SMU","W","76","56","24","58",".414","8","26",".308","20","29",".690","11","35","16","7","3","11","18","18","48",".375","6","19",".316","14","21",".667","8","27","11","7","3","18","22","cincinnati"
"1047","17","2018-01-13","away","South Florida","W","78","55","22","43",".512","7","16",".438","27","31",".871","9","26","15","6","5","7","18","18","45",".400","7","13",".538","12","16",".750","6","18","8","5","3","11","21","cincinnati"
"1048","18","2018-01-16","away","UCF","W","49","38","19","54",".352","5","20",".250","6","10",".600","7","30","15","6","6","8","13","15","50",".300","5","17",".294","3","10",".300","7","28","11","3","1","12","11","cincinnati"
"1049","19","2018-01-20","home","East Carolina","W","86","60","33","73",".452","5","14",".357","15","21",".714","22","46","15","9","10","7","11","25","59",".424","4","16",".250","6","11",".545","10","28","8","3","6","13","19","cincinnati"
"1050","20","2018-01-24","home","Temple","W","75","42","28","65",".431","8","22",".364","11","16",".688","16","44","14","12","3","12","14","16","56",".286","3","23",".130","7","16",".438","9","31","9","5","5","20","19","cincinnati"
"1051","1","2017-11-10","home","Oglethorpe","W","109","73","41","87",".471","21","47",".447","6","6","1.000","16","50","27","17","4","16","16","29","72",".403","8","37",".216","7","13",".538","10","38","16","11","7","25","9","citadel"
"1052","2","2017-11-12","away","Virginia Tech","L","93","132","33","78",".423","14","32",".438","13","20",".650","6","21","18","9","1","16","29","48","70",".686","12","22",".545","24","36",".667","10","49","36","5","5","19","21","citadel"
"1053","3","2017-11-15","away","North Carolina A&T","L","73","92","27","79",".342","5","33",".152","14","21",".667","14","37","8","9","1","18","20","37","65",".569","7","22",".318","11","15",".733","6","46","25","8","3","21","18","citadel"
"1054","4","2017-11-18","away","High Point","W","79","77","27","64",".422","10","25",".400","15","23",".652","9","28","13","11","5","17","14","30","65",".462","5","12",".417","12","12","1.000","10","34","15","12","10","18","22","citadel"
"1055","5","2017-11-21","home","Trinity Baptist","W","116","66","45","79",".570","14","33",".424","12","18",".667","8","35","32","25","5","16","16","24","61",".393","10","26",".385","8","10",".800","6","33","18","6","2","35","16","citadel"
"1056","6","2017-11-24","away","Florida State","L","78","113","26","78",".333","13","38",".342","13","21",".619","15","35","17","8","2","16","18","42","80",".525","14","38",".368","15","22",".682","15","48","23","7","10","14","20","citadel"
"1057","7","2017-12-01","home","Marist","L","91","100","32","79",".405","15","42",".357","12","17",".706","8","30","18","9","1","12","19","35","63",".556","18","40",".450","12","17",".706","5","38","24","3","6","19","17","citadel"
"1058","8","2017-12-02","home","UMBC","L","72","98","24","69",".348","6","29",".207","18","29",".621","13","35","15","9","1","10","18","36","76",".474","16","42",".381","10","16",".625","18","52","24","5","4","14","23","citadel"
"1059","9","2017-12-05","home","James Madison","W","84","82","33","59",".559","11","24",".458","7","11",".636","1","24","18","12","4","18","20","28","68",".412","8","25",".320","18","22",".818","13","37","18","10","4","17","16","citadel"
"1060","10","2017-12-14","away","Campbell","L","77","87","29","74",".392","7","26",".269","12","16",".750","11","34","12","6","3","6","19","33","69",".478","8","21",".381","13","20",".650","15","49","20","3","5","8","10","citadel"
"1061","11","2017-12-16","home","Point","W","110","66","38","78",".487","12","38",".316","22","27",".815","12","43","22","17","5","17","16","29","67",".433","4","22",".182","4","11",".364","8","36","13","8","4","29","24","citadel"
"1062","12","2017-12-19","away","Ohio State","L","65","94","23","71",".324","13","43",".302","6","8",".750","13","34","13","7","1","16","12","37","74",".500","13","35",".371","7","9",".778","15","45","27","9","4","12","12","citadel"
"1063","13","2017-12-30","home","Western Carolina","L","79","81","24","63",".381","13","44",".295","18","33",".545","13","44","17","9","6","22","28","27","76",".355","4","20",".200","23","35",".657","20","53","12","12","2","17","26","citadel"
"1064","14","2018-01-04","away","Furman","L","67","107","23","63",".365","12","33",".364","9","18",".500","9","35","15","6","1","18","21","39","71",".549","17","40",".425","12","18",".667","10","43","31","8","4","17","16","citadel"
"1065","15","2018-01-06","away","Wofford","L","92","109","30","75",".400","13","40",".325","19","33",".576","13","38","15","17","2","15","26","33","62",".532","14","30",".467","29","37",".784","10","42","19","8","3","20","23","citadel"
"1066","16","2018-01-11","home","Samford","L","91","107","33","72",".458","14","42",".333","11","19",".579","10","31","24","7","1","17","17","39","63",".619","18","32",".563","11","14",".786","4","31","28","5","3","21","17","citadel"
"1067","17","2018-01-13","home","Chattanooga","W (1 OT)","110","101","37","60",".617","15","30",".500","21","26",".808","5","30","24","6","7","13","16","37","79",".468","17","40",".425","10","13",".769","17","36","23","4","5","11","19","citadel"
"1068","18","2018-01-18","away","North Carolina-Greensboro","L","58","72","21","54",".389","7","29",".241","9","15",".600","7","30","12","6","3","15","13","26","64",".406","11","30",".367","9","13",".692","15","43","14","9","5","13","15","citadel"
"1069","19","2018-01-20","away","Virginia Military Institute","L","81","88","27","65",".415","7","29",".241","20","25",".800","7","31","13","10","0","13","15","31","62",".500","14","31",".452","12","15",".800","5","33","19","6","5","17","21","citadel"
"1070","1","2017-11-10","home","Western Carolina","W","85","57","27","54",".500","6","14",".429","25","31",".806","8","37","14","11","5","15","17","22","56",".393","6","16",".375","7","14",".500","7","30","9","5","2","20","21","clemson"
"1071","2","2017-11-12","home","North Carolina A&T","W","87","63","33","59",".559","6","19",".316","15","22",".682","12","45","21","5","4","13","14","23","57",".404","9","26",".346","8","14",".571","3","20","9","7","1","9","17","clemson"
"1072","3","2017-11-16","neutral","Ohio","W","81","76","26","53",".491","6","17",".353","23","28",".821","5","32","14","7","2","11","17","28","61",".459","10","26",".385","10","11",".909","4","27","15","4","1","11","21","clemson"
"1073","4","2017-11-17","neutral","Hofstra","W","78","59","29","64",".453","10","28",".357","10","12",".833","7","31","18","8","7","5","18","25","56",".446","6","14",".429","3","10",".300","7","32","11","0","0","13","19","clemson"
"1074","5","2017-11-19","neutral","Temple","L","60","67","23","55",".418","7","26",".269","7","9",".778","4","32","12","5","3","18","18","23","62",".371","10","28",".357","11","13",".846","7","32","12","8","2","11","15","clemson"
"1075","6","2017-11-24","home","Texas Southern","W","84","77","30","49",".612","7","18",".389","17","24",".708","6","36","14","3","4","18","22","26","64",".406","7","29",".241","18","20",".900","9","24","12","7","2","10","22","clemson"
"1076","7","2017-11-29","away","Ohio State","W","79","65","29","52",".558","10","19",".526","11","13",".846","2","28","16","5","6","10","14","24","55",".436","9","21",".429","8","16",".500","8","28","15","3","4","12","13","clemson"
"1077","8","2017-12-03","home","North Carolina-Asheville","W","83","52","35","67",".522","8","21",".381","5","8",".625","6","39","16","7","9","8","14","21","61",".344","5","19",".263","5","8",".625","6","35","9","4","4","16","15","clemson"
