"","precinct","county","democrat","republican","other","office","active","inactive","total","dem.two.way","turnout","hod_contested"
"144","010 - OSCAR SMITH","CHESAPEAKE CITY",278,255,10,"Governor",1302,161,1463,52.1575984990619,41.705069124424,0
"145","010 - PORT NORFOLK RECREATION CENTER","PORTSMOUTH CITY",349,194,8,"Governor",1109,113,1222,64.2725598526704,49.6844003606853,0
"146","010 - WARD TEN","DANVILLE CITY",356,301,9,"Governor",1596,94,1690,54.1856925418569,41.7293233082707,0
"147","010 - WILSON","ARLINGTON COUNTY",1351,364,13,"Governor",4012,772,4784,78.7755102040816,43.0707876370887,0
"148","011 - CAPE HENRY","VIRGINIA BEACH CITY",1000,870,13,"Governor",3437,231,3668,53.475935828877,54.786150712831,1
"149","011 - EAST FALLS CHURCH","ARLINGTON COUNTY",859,265,8,"Governor",1996,134,2130,76.423487544484,56.7134268537074,0
"150","011 - GENEVA PARK","CHESAPEAKE CITY",374,446,15,"Governor",2427,338,2765,45.609756097561,34.4046147507211,1
"151","011 - MT. HERMON VILLAGE","PORTSMOUTH CITY",647,18,9,"Governor",1558,116,1674,97.2932330827068,43.2605905006418,0
"152","011 - RALEIGH COURT","ROANOKE CITY",968,535,30,"Governor",2717,258,2975,64.4045242847638,56.4225248435775,0
"153","011 - WARD ELEVEN","DANVILLE CITY",653,309,3,"Governor",2317,147,2464,67.8794178794179,41.6486836426413,0
"154","012 - FAIRLINGTON","ARLINGTON COUNTY",1259,364,14,"Governor",2585,221,2806,77.5723967960567,63.3268858800774,0
"155","012 - GEORGETOWN","CHESAPEAKE CITY",1013,134,9,"Governor",2097,182,2279,88.3173496076722,55.1263710061993,0
"156","012 - PLAZA","VIRGINIA BEACH CITY",713,492,23,"Governor",3286,322,3608,59.1701244813278,37.3706634205721,1
"157","012 - SOUTH ROANOKE","ROANOKE CITY",687,655,11,"Governor",2412,182,2594,51.1922503725782,56.0945273631841,1
"158","012 - WARD TWELVE","DANVILLE CITY",644,452,4,"Governor",2294,129,2423,58.7591240875912,47.951176983435,0
"159","013 - GARDEN CITY","ROANOKE CITY",384,643,20,"Governor",2649,258,2907,37.3904576436222,39.524348810872,1
"160","013 - GILMERTON","CHESAPEAKE CITY",533,474,15,"Governor",2167,209,2376,52.9294935451837,47.1619750807568,1
"161","013 - GLEN CARLYN","ARLINGTON COUNTY",840,196,8,"Governor",2045,126,2171,81.0810810810811,51.0513447432763,0
"162","013 - MT TRASHMORE","VIRGINIA BEACH CITY",823,772,19,"Governor",3686,302,3988,51.5987460815047,43.7873033098209,1
"163","013 - ST. MARK MISSIONARY BAPTIST CHURCH","PORTSMOUTH CITY",414,14,2,"Governor",1342,119,1461,96.7289719626168,32.0417287630402,0
"164","013 - WARD THIRTEEN","DANVILLE CITY",539,324,3,"Governor",2096,166,2262,62.4565469293163,41.3167938931298,0
"165","014 - CLARENDON","ARLINGTON COUNTY",897,193,17,"Governor",2253,304,2557,82.2935779816514,49.1344873501997,0
"166","014 - Crystal Spring","ROANOKE CITY",778,643,16,"Governor",2759,295,3054,54.7501759324419,52.0840884378398,0
"167","014 - EMILY N. SPONG PRESCHOOL","PORTSMOUTH CITY",741,22,5,"Governor",1795,166,1961,97.1166448230668,42.7855153203343,0
"168","014 - GRASSFIELD","CHESAPEAKE CITY",160,211,5,"Governor",737,42,779,43.1266846361186,51.0176390773406,1
"169","014 - MALIBU","VIRGINIA BEACH CITY",706,648,13,"Governor",3061,227,3288,52.1418020679468,44.6586082979418,1
"170","014 - WARD FOURTEEN","DANVILLE CITY",118,5,0,"Governor",380,31,411,95.9349593495935,32.3684210526316,0
"171","015 - B M WILLIAMS","CHESAPEAKE CITY",660,354,11,"Governor",2426,337,2763,65.0887573964497,42.2506183017312,0
"172","015 - Grandin Court","ROANOKE CITY",769,565,21,"Governor",2407,218,2625,57.6461769115442,56.2941420855837,1
"173","015 - LYON PARK","ARLINGTON COUNTY",681,159,9,"Governor",1671,213,1884,81.0714285714286,50.8078994614004,0
"174","015 - OLD DONATION","VIRGINIA BEACH CITY",397,380,18,"Governor",2315,322,2637,51.0939510939511,34.341252699784,1
"175","015 - WARD FIFTEEN","DANVILLE CITY",369,399,2,"Governor",1885,123,2008,48.046875,40.8488063660477,0
"176","016 - ARAGONA","VIRGINIA BEACH CITY",777,717,36,"Governor",3829,422,4251,52.0080321285141,39.9582136328023,1
"177","016 - CRADOCK MIDDLE SCHOOL","PORTSMOUTH CITY",485,180,17,"Governor",1843,231,2074,72.9323308270677,37.0048833423766,0
"178","016 - Deyerle","ROANOKE CITY",788,783,20,"Governor",2689,143,2832,50.1591343093571,59.1669765712161,1
"179","016 - HICKORY GROVE","CHESAPEAKE CITY",404,889,14,"Governor",2658,120,2778,31.2451662799691,49.1723100075245,0
"180","016 - LYON VILLAGE","ARLINGTON COUNTY",1243,321,24,"Governor",3130,349,3479,79.4757033248082,50.7348242811502,0
"181","016 - WARD SIXTEEN","DANVILLE CITY",363,568,3,"Governor",2091,132,2223,38.9903329752954,44.6676231468197,0
