"","rank","player_name","g_eligible","g_started","minutes","fg","fg_attempts","fg_pct","two_pts","two_attempts","two_point_pct","three","three_attempts","three_pct","free_throws","free_throws_attempts","free_throw_pct","orb","drb","rebounds","assists","steals","blocks","turnovers","fouls","points","part_url","year"
"10664",5,"Jordan Reed",32,26,27.9,1.7,5.5,0.311,0.4,1.3,0.31,1.3,4.2,0.311,0.7,0.9,0.724,0.4,1.3,1.7,1.6,0.6,0.1,1.5,1.8,5.4,"/cbb/schools/new-hampshire/",2017
"2432",4,"Kasey Wilson",31,22,26.7,3.3,7.6,0.426,2,4.2,0.473,1.3,3.4,0.368,1.8,2.7,0.659,1.6,4.1,5.7,0.6,0.8,0.5,1.5,2.8,9.6,"/cbb/schools/central-florida/",2014
"17303",14,"Justin Burks",2,0,8,0.5,1,0.5,0,0,NA,0.5,1,0.5,0,0,NA,0,0,0,0,0,0,0.5,0,1.5,"/cbb/schools/california-santa-barbara/",2015
"10316",9,"Kedrick Flomo",29,0,10.8,0.3,1.8,0.189,0,0.6,0.056,0.3,1.2,0.257,0.2,0.3,0.7,0.1,0.9,1,1,0.3,0.1,0.8,1,1.2,"/cbb/schools/murray-state/",2015
"3063",8,"Dave Krmpotich",28,5,13.5,1.7,4,0.425,1.7,4,0.432,0,0.1,0,1,1.7,0.563,0.6,1.4,2,0.2,0.3,0.4,1.1,1.9,4.4,"/cbb/schools/colgate/",2016
"12402",7,"Javonte Douglas",25,1,10.2,1.3,3,0.446,1.2,2.7,0.463,0.1,0.3,0.286,0.8,1.5,0.553,0.7,1.9,2.6,0.8,0.2,0.2,0.7,1.4,3.6,"/cbb/schools/old-dominion/",2015
"9605",13,"Jasen Baranowski",2,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"/cbb/schools/minnesota/",2014
"13546",4,"Marshall Wood",30,3,23.4,2.9,6.7,0.44,1,1.9,0.536,1.9,4.8,0.403,0.8,1.6,0.521,1,2.9,3.9,0.5,0.5,0.5,0.8,2.3,8.6,"/cbb/schools/richmond/",2016
"4286",4,"A.J. Merriweather",30,28,27.2,3.7,7.7,0.483,3.1,6.1,0.503,0.7,1.6,0.408,2.2,3,0.722,1.9,4.2,6.1,1.4,1.3,0.3,1.9,2.6,10.3,"/cbb/schools/east-tennessee-state/",2015
"11800",12,"Tanner Morgan",1,0,0,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,0,0,0,0,0,0,1,"/cbb/schools/northern-colorado/",2017
"7472",11,"Zach Winter",13,0,1.2,0.2,0.7,0.222,0,0.1,0,0.2,0.6,0.25,0,0,NA,0,0.2,0.2,0,0,0,0.1,0.1,0.5,"/cbb/schools/kansas-state/",2016
"248",7,"Algie Key",32,9,15.4,1.3,3.1,0.404,1.2,2.9,0.424,0,0.2,0.143,1.1,1.7,0.667,0.8,1.5,2.3,1.4,0.5,0.1,0.8,1.7,3.7,"/cbb/schools/alabama/",2014
"11112",12,"Juwan Moody",24,0,5.7,0.5,1.3,0.355,0.1,0.3,0.25,0.4,1,0.391,0,0.1,0.333,0.1,0.5,0.6,0.8,0.3,0,0.5,0.7,1.3,"/cbb/schools/north-carolina-central/",2014
"17600",10,"Andrew Bastien",25,6,9.8,1.1,1.8,0.636,1.1,1.8,0.636,0,0,NA,0.3,0.6,0.5,0.8,1.8,2.6,0.2,0.1,0.7,0.4,1.3,2.6,"/cbb/schools/utah-valley/",2017
"16362",10,"Colin Hale",30,1,5.4,0.2,0.6,0.368,0.1,0.3,0.4,0.1,0.3,0.333,0.3,0.4,0.667,0.1,0.3,0.4,0.4,0.1,0,0.3,0.7,0.8,"/cbb/schools/texas-am-corpus-christi/",2017
"4277",9,"Lukas Poderis",33,3,11.5,0.6,1.4,0.447,0.6,1.4,0.447,0,0,NA,0.6,1.1,0.541,1,1.4,2.4,0.1,0.2,0.5,0.4,2,1.9,"/cbb/schools/east-tennessee-state/",2014
"17181",11,"Ioannis Dimakopoulos",22,0,5.4,0.8,1.5,0.5,0.6,1.2,0.5,0.2,0.4,0.5,0.4,0.6,0.643,0.3,1,1.3,0.2,0.1,0.3,0.5,0.5,2.1,"/cbb/schools/california-irvine/",2014
"7067",10,"Brent Calhoun",17,1,7.9,0.9,2,0.441,0.9,2,0.441,0,0,NA,0.5,1,0.529,0.7,1.8,2.5,0.1,0.1,0.6,0.8,1.7,2.3,"/cbb/schools/ipfw/",2015
"12226",9,"Trey McDonald",35,0,12.1,0.8,1.6,0.527,0.8,1.6,0.527,0,0,NA,0.4,1.1,0.333,0.9,0.8,1.7,0.1,0.2,0.5,0.6,2,2,"/cbb/schools/ohio-state/",2014
"3672",11,"Kendall Pollard",37,0,8.5,0.9,1.7,0.548,0.9,1.6,0.567,0,0.1,0,0.4,1.2,0.326,0.4,0.9,1.3,0.2,0.3,0.3,0.6,1.4,2.2,"/cbb/schools/dayton/",2014
"3539",3,"Connor Boehm",28,26,27.1,4.5,8.6,0.529,4.3,8,0.54,0.2,0.6,0.375,1.6,2.3,0.692,2.1,3.5,5.6,1,0.5,0,1.8,2.5,10.9,"/cbb/schools/dartmouth/",2014
"11228",5,"J.P. Tokoto",38,34,29.1,3.1,7.1,0.428,2.7,6.3,0.435,0.3,0.8,0.375,1.9,3.1,0.615,1.6,4,5.6,4.3,1.5,0.3,2.2,2.4,8.3,"/cbb/schools/north-carolina/",2015
"15693",2,"Marcus LoVett",30,25,31.6,5.5,11.9,0.464,3.9,7.6,0.511,1.7,4.4,0.382,3.1,3.9,0.803,0.6,2.3,2.9,3.8,1.3,0,2.6,2,15.9,"/cbb/schools/st-johns-ny/",2017
"18399",11,"Charlendez Brooks",18,3,10.8,0.6,1.4,0.385,0.6,1.4,0.385,0,0,NA,0.6,0.7,0.846,0.7,1.5,2.2,0.4,0.2,0.4,1.1,2.7,1.7,"/cbb/schools/western-carolina/",2017
"9509",1,"Giddy Potts",29,27,28,4.8,9.7,0.493,2.1,4.3,0.476,2.7,5.4,0.506,2.1,2.8,0.763,0.9,4.3,5.2,1.2,1,0.3,1.1,2.9,14.4,"/cbb/schools/middle-tennessee/",2016
"9181",7,"Markel Crawford",33,24,19.9,2,4.3,0.469,1.9,3.6,0.533,0.1,0.7,0.13,1.1,1.8,0.638,0.6,2.7,3.2,1.4,0.8,0.2,0.9,2.1,5.3,"/cbb/schools/memphis/",2016
"14111",7,"Dakarai Henderson",31,0,12,2.1,5,0.413,0.7,1.7,0.426,1.3,3.3,0.406,0.8,1.2,0.632,0.1,0.8,0.8,0.4,0.4,0,0.7,0.9,6.2,"/cbb/schools/sam-houston-state/",2014
"8580",8,"Troy Reid-Knight",27,7,19.1,1.6,3.7,0.426,0.9,1.7,0.5,0.7,2,0.364,0.9,1.4,0.649,0.7,1.6,2.3,1.3,0.7,0.1,1.5,2.2,4.8,"/cbb/schools/maine/",2015
"3784",13,"Mrdjan Gasevic",21,3,6.6,0.4,0.8,0.529,0.4,0.8,0.529,0,0,NA,0.3,0.4,0.778,0.2,0.7,0.9,0.1,0,0,0.4,0.8,1.2,"/cbb/schools/delaware-state/",2014
"18639",2,"Omar Prewitt",33,33,33,4.6,10,0.459,3.1,5.6,0.554,1.5,4.5,0.34,2.8,3.9,0.7,0.5,3.9,4.4,2.5,1.2,0.8,1.9,2.3,13.5,"/cbb/schools/william-mary/",2015
"16024",6,"Alani Moore",32,23,25.8,2,4.9,0.414,0.6,1.4,0.413,1.4,3.5,0.414,1,1.2,0.821,0.8,1.5,2.4,1.8,0.8,0.1,1,1.3,6.5,"/cbb/schools/temple/",2017
"6144",1,"John Brown",32,29,31.1,7.6,13.8,0.55,7.6,13.6,0.558,0,0.2,0,4.2,5.5,0.756,3.2,2.8,6,1.2,1.2,1,1.7,2.1,19.3,"/cbb/schools/high-point/",2015
"10909",11,"Marquis Nelson",21,3,10,0.8,2.2,0.348,0.4,1.1,0.333,0.4,1,0.364,0.1,0.4,0.25,0.2,0.6,0.9,0.5,0.2,0.1,0.9,1,2,"/cbb/schools/nicholls-state/",2015
"7019",1,"Georges Niang",35,35,33.2,8.1,14.8,0.546,6.5,10.7,0.605,1.6,4.1,0.392,2.7,3.4,0.807,1.3,4.9,6.2,3.3,0.9,0.6,2.6,3.2,20.5,"/cbb/schools/iowa-state/",2016
"18056",9,"JoJo Cooper",34,9,20.9,0.9,3.7,0.256,0.7,2.4,0.309,0.2,1.3,0.159,1.4,2.1,0.671,0.6,1.9,2.4,2.9,0.9,0.1,1.6,1.7,3.5,"/cbb/schools/wagner/",2016
"2606",4,"Terrence Williams",32,27,25.8,3.3,7.7,0.423,2.5,5.7,0.432,0.8,2,0.397,2.4,3.4,0.716,1,3.3,4.3,2.2,0.9,0.1,2.3,2.7,9.7,"/cbb/schools/charlotte/",2015
"3510",1,"Maurice Watson Jr.",35,35,31.4,5.1,10.8,0.475,4.6,8.9,0.511,0.5,1.8,0.297,3.3,4.6,0.714,0.6,2.8,3.4,6.5,1,0,3.3,2.5,14.1,"/cbb/schools/creighton/",2016
