"","rank","player_name","g_eligible","g_started","minutes","fg","fg_attempts","fg_pct","two_pts","two_attempts","two_point_pct","three","three_attempts","three_pct","free_throws","free_throws_attempts","free_throw_pct","orb","drb","rebounds","assists","steals","blocks","turnovers","fouls","points","part_url","year"
"16447",16,"Danny Newsome",5,0,2.6,0.2,0.8,0.25,0.2,0.6,0.333,0,0.2,0,0,0,NA,0.2,0.8,1,0,0,0,0.2,0.6,0.4,"/cbb/schools/texas/",2015
"18044",10,"Japhet Kadji",24,5,10.6,1.2,2.5,0.475,0.9,1.8,0.5,0.3,0.7,0.412,0.5,0.7,0.688,0.8,1.7,2.5,0.2,0.3,0.3,0.4,2,3.2,"/cbb/schools/wagner/",2015
"7303",8,"Christian Cunningham",25,17,19.1,1.9,3.4,0.558,1.9,3.4,0.558,0,0,NA,1,1.6,0.6,1.9,2.5,4.4,0.3,0.3,1.8,0.6,3,4.8,"/cbb/schools/jacksonville-state/",2016
"8247",5,"Jay Wright",35,34,26.3,2.9,7.7,0.384,2.1,5.5,0.376,0.9,2.1,0.405,2.4,3.9,0.601,0.5,2.6,3.1,3.6,0.9,0.2,2.2,2.1,9.1,"/cbb/schools/louisiana-lafayette/",2015
"9746",8,"Schnider Herard",32,18,18.6,1.8,3.2,0.549,1.8,3.2,0.549,0,0,NA,1.6,3.2,0.495,1.8,3.2,5,0.2,0.1,0.3,1.5,2.1,5.1,"/cbb/schools/mississippi-state/",2017
"8323",1,"Travis Munnings",33,33,33.7,4.8,10.8,0.447,3.3,6.4,0.514,1.5,4.4,0.349,1.9,3,0.636,2.1,6,8.1,2,0.8,0.3,2.2,2.8,13.2,"/cbb/schools/louisiana-monroe/",2017
"768",12,"Keaton Miles",16,0,3,0.2,0.6,0.333,0.2,0.5,0.375,0,0.1,0,0,0.1,0,0.1,0.3,0.4,0.1,0.1,0,0.1,1.3,0.4,"/cbb/schools/arkansas/",2015
"6891",8,"Ryden Hines",21,2,6.4,0.8,1.4,0.586,0.5,0.7,0.714,0.3,0.7,0.467,0.3,0.5,0.7,0.5,0.5,1,0.3,0.3,0,0.2,1.2,2.3,"/cbb/schools/iona/",2014
"12434",14,"Keith Pinckney",9,0,3.3,0,0.2,0,0,0.2,0,0,0,NA,0,0,NA,0,0.1,0.1,0,0,0,0,0.2,0,"/cbb/schools/old-dominion/",2017
"3919",13,"David Molinari",10,0,1.4,0.1,0.5,0.2,0.1,0.2,0.5,0,0.3,0,0,0,NA,0,0.1,0.1,0.2,0.1,0,0,0,0.2,"/cbb/schools/depaul/",2015
"14436",12,"Ashtin Chastain",14,0,2.9,0.4,0.4,0.833,0.4,0.4,0.833,0,0,NA,0.4,1.1,0.333,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.5,1.1,"/cbb/schools/san-jose-state/",2017
"4724",7,"Stephan Jiggetts",20,0,16.4,1.7,5.8,0.284,1,3.4,0.284,0.7,2.5,0.286,1.3,1.8,0.714,0.5,0.9,1.4,1.2,0.4,0.1,2.1,1.8,5.3,"/cbb/schools/fairleigh-dickinson/",2015
"8451",17,"Nick DiNardi",4,0,2.5,0.3,0.3,1,0.3,0.3,1,0,0,NA,0,0,NA,0.3,0.8,1,0,0,0,0,0.8,0.5,"/cbb/schools/loyola-il/",2017
"415",13,"Anthony Odunsi",5,0,5,0.4,1,0.4,0.4,1,0.4,0,0,NA,0.4,0.4,1,0.2,0.2,0.4,0.2,0.2,0,0.4,0.6,1.2,"/cbb/schools/albany-ny/",2014
"9866",9,"Austin Ruder",29,7,13.4,1.6,4.5,0.362,0.2,0.7,0.35,1.4,3.8,0.364,0.2,0.3,0.778,0.1,0.8,0.9,0.3,0.3,0.1,0.2,1,4.9,"/cbb/schools/missouri-state/",2017
