"","point.d","fg.d","three.d","ft.d","orb.d","drb.d","ast.d","stl.d","blk.d","tov.d","pf.d","g","team","loc.home","win","year"
"315",-0.2568921,-0.8408467,-0.9946956,-0.01673225,1.285914,-0.8723151,-1.169852,1.769777,-0.3306392,-1.1746,0.7816548,19,"portland state",0,0,2017
"316",1.46056605027788,1.34005478067293,0.815715102840465,0.690887147320785,0.158980179784145,1.04844329850167,0.592788970069411,-0.541735920215714,-0.0295653502327804,-0.773995728973143,-0.915365045417865,12,"air force",1,1,2015
"317",0.8244704,0.1875458,0.1573839,0.6016914,1.473737,0.9112463,-0.04817127,1.256108,-0.02956535,-0.5736933,-0.915365,1,"tennessee state",0,1,2016
"318",-0.5749399,0.03683313,-1.281192,-1.194116,1.849381,0.6368522,-0.2084113,-1.569075,-0.631713,1.829935,-0.3496918,16,"texas am",0,0,2017
"319",-0.2568921,0.8613203,0.2244362,-0.9919388,-0.7801316,0.2252611,-0.2084113,-1.055405,-0.02956535,1.429331,0.9702125,31,"rhode island",0,0,2016
"320",0.570032202125335,0.355989456053408,0.114714318410107,1.05361641593931,-1.15577627931723,1.18564032638872,0.272308851034102,-0.0280663433444056,-0.631712983307075,-0.173088574769602,-2.80094262072762,8,"brown",1,1,2016
"321",1.460566,1.526229,0.2122449,-2.121751,0.9102696,1.048443,2.03495,-0.02806634,1.17473,-0.1730886,0.4045393,22,"new mexico state",1,1,2016
"322",2.28749,1.171611,0.870576,0.5124957,1.285914,1.048443,1.554229,0.4856032,2.077951,-1.1746,-0.915365,10,"minnesota",1,1,2016
"323",-0.4477208,-0.6014795,-0.6045734,-0.7659763,0.1589802,-2.107088,-1.169852,1.512942,-0.9327868,-1.97581,0.9702125,26,"tennessee state",0,0,2017
"324",-0.129673,0.3914513,-0.4034167,0.548174,-0.5923092,0.6368522,-0.8493716,-1.569075,-1.233861,0.8284233,0.2159815,15,"fairfield",1,0,2014
"325",-0.5749399,-0.6635377,0.1086187,0.01894604,-1.155776,-0.8723151,-1.009612,0.742438,-1.534934,-0.5736933,-0.161134,31,"robert morris",0,0,2016
"326",0.760860883872308,0.754934857926187,0.724280217914766,0.363836167418835,-0.216664522816248,0.774049242727577,-0.0481712680012071,0.228768445091249,0.572582282841514,0.0272138099649122,-0.161134015293963,24,"brigham young",1,1,2014
"327",0.3792035,-0.3887086,0.2183405,0.9882062,0.5346249,-0.323527,-0.3686514,1.769777,0.2715085,-1.1746,0.2159815,1,"southern utah",1,1,2013
"328",-0.1932825,0.1166222,0.8766717,0.01894604,-0.7801316,0.2252611,-0.5288914,0.742438,-0.631713,-0.5736933,0.593097,21,"nevada",1,0,2015
"329",-0.1932825,0.05456404,-0.9764086,0.8276539,0.1589802,0.0880641,-0.8493716,-0.7985707,0.8736561,0.02721381,-0.7268073,19,"eastern michigan",1,0,2014
"330",-1.274645,-0.7787886,0.1817666,-0.7243516,-0.4044869,-0.8723151,-1.810812,-1.055405,0.5725823,1.429331,-0.7268073,9,"tennessee martin",0,0,2015
"331",1.396956,1.2514,0.3219667,0.9941526,0.9102696,1.322837,1.874709,0.2287684,3.58332,-0.1730886,-0.5382495,16,"connecticut",1,1,2014
"332",0.2519844,0.6840112,0.4316886,0.3697825,0.9102696,1.460034,-0.8493716,-1.055405,-0.631713,1.429331,-0.161134,20,"fresno state",0,1,2017
"333",-0.3205016,0.04569859,0.7120889,-0.07024968,0.1589802,-0.323527,-0.8493716,-1.569075,-0.9327868,0.628121,0.9702125,17,"southern mississippi",0,0,2014
"334",-1.274645,-1.966759,-1.585975,-0.8908503,0.5346249,-1.695497,0.2723089,-0.2849011,-0.02956535,-1.1746,0.4045393,14,"central michigan",1,0,2016
"335",0.88808,-0.03409049,-1.189757,1.725558,1.098092,0.6368522,0.753029,-0.02806634,-0.631713,-0.5736933,0.2159815,25,"davidson",1,1,2014
"336",-0.00245384311558543,0.675145777551632,0.370731996202064,-0.760029927153323,-0.967953928017036,-0.0491329245947142,0.432548910551756,0.228768445091249,-0.330639166769928,0.0272138099649122,0.593097014829938,10,"arkansas state",0,1,2013
